Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Пензенская область, все устройства
декабрь 2017;405;0,00078;
январь 2018;328;0,00065;
февраль 2018;371;0,00068;
март 2018;467;0,00095;
апрель 2018;390;0,00083;
май 2018;513;0,00117;
июнь 2018;532;0,00120;
июль 2018;507;0,00115;
август 2018;343;0,00067;
сентябрь 2018;360;0,00062;
октябрь 2018;297;0,00056;
ноябрь 2018;306;0,00057;
декабрь 2018;230;0,00041;
январь 2019;225;0,00043;
февраль 2019;214;0,00038;
март 2019;257;0,00050;
апрель 2019;316;0,00065;
май 2019;213;0,00048;
июнь 2019;298;0,00066;
июль 2019;287;0,00063;
август 2019;237;0,00049;
сентябрь 2019;268;0,00047;
октябрь 2019;241;0,00042;
ноябрь 2019;398;0,00065;
декабрь 2019;281;0,00043;
январь 2020;306;0,00049;
февраль 2020;359;0,00054;
март 2020;246;0,00029;
апрель 2020;243;0,00031;
май 2020;226;0,00036;
июнь 2020;255;0,00045;
июль 2020;294;0,00052;
август 2020;233;0,00036;
сентябрь 2020;275;0,00036;
октябрь 2020;371;0,00048;
ноябрь 2020;350;0,00046;
декабрь 2020;240;0,00033;
январь 2021;249;0,00036;
февраль 2021;225;0,00030;
март 2021;230;0,00031;
апрель 2021;191;0,00026;
май 2021;176;0,00025;
июнь 2021;184;0,00029;
июль 2021;257;0,00039;
август 2021;204;0,00027;
сентябрь 2021;201;0,00025;
октябрь 2021;181;0,00021;
ноябрь 2021;233;0,00027;
декабрь 2021;220;0,00025;
январь 2022;257;0,00031;
февраль 2022;534;0,00058;
март 2022;557;0,00065;
апрель 2022;508;0,00060;
май 2022;560;0,00074;
июнь 2022;508;0,00068;
июль 2022;656;0,00089;
август 2022;535;0,00064;
сентябрь 2022;404;0,00045;
октябрь 2022;481;0,00053;
ноябрь 2022;501;0,00055;
декабрь 2022;392;0,00043;
январь 2023;364;0,00043;
февраль 2023;338;0,00037;
март 2023;366;0,00045;
апрель 2023;370;0,00045;
май 2023;458;0,00060;
июнь 2023;667;0,00088;
июль 2023;419;0,00057;
август 2023;213;0,00026;
сентябрь 2023;259;0,00029;
октябрь 2023;346;0,00039;
ноябрь 2023;309;0,00034;
декабрь 2023;257;0,00028;
январь 2024;237;0,00028;
февраль 2024;302;0,00035;
март 2024;316;0,00038;
апрель 2024;295;0,00035;
май 2024;349;0,00048;
июнь 2024;451;0,00063;
июль 2024;462;0,00065;
август 2024;425;0,00059;
сентябрь 2024;389;0,00047;
октябрь 2024;358;0,00042;
ноябрь 2024;460;0,00053;
декабрь 2024;297;0,00034;
