Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Тверская область, все устройства
декабрь 2017;217;0,00041;
январь 2018;189;0,00036;
февраль 2018;269;0,00047;
март 2018;238;0,00047;
апрель 2018;233;0,00048;
май 2018;279;0,00059;
июнь 2018;245;0,00051;
июль 2018;271;0,00056;
август 2018;214;0,00039;
сентябрь 2018;243;0,00039;
октябрь 2018;218;0,00038;
ноябрь 2018;328;0,00059;
декабрь 2018;264;0,00045;
январь 2019;212;0,00038;
февраль 2019;234;0,00040;
март 2019;199;0,00037;
апрель 2019;251;0,00049;
май 2019;247;0,00051;
июнь 2019;203;0,00040;
июль 2019;215;0,00044;
август 2019;298;0,00059;
сентябрь 2019;215;0,00037;
октябрь 2019;191;0,00032;
ноябрь 2019;770;0,00126;
декабрь 2019;437;0,00069;
январь 2020;294;0,00048;
февраль 2020;279;0,00042;
март 2020;288;0,00033;
апрель 2020;299;0,00038;
май 2020;281;0,00045;
июнь 2020;191;0,00031;
июль 2020;230;0,00039;
август 2020;173;0,00028;
сентябрь 2020;251;0,00035;
октябрь 2020;214;0,00028;
ноябрь 2020;310;0,00042;
декабрь 2020;173;0,00024;
январь 2021;225;0,00032;
февраль 2021;205;0,00026;
март 2021;213;0,00027;
апрель 2021;228;0,00029;
май 2021;218;0,00029;
июнь 2021;248;0,00034;
июль 2021;213;0,00028;
август 2021;247;0,00031;
сентябрь 2021;226;0,00026;
октябрь 2021;231;0,00026;
ноябрь 2021;251;0,00028;
декабрь 2021;246;0,00027;
январь 2022;249;0,00028;
февраль 2022;668;0,00069;
март 2022;693;0,00074;
апрель 2022;687;0,00076;
май 2022;899;0,00110;
июнь 2022;877;0,00106;
июль 2022;810;0,00097;
август 2022;579;0,00065;
сентябрь 2022;587;0,00061;
октябрь 2022;561;0,00059;
ноябрь 2022;521;0,00055;
декабрь 2022;375;0,00039;
январь 2023;404;0,00046;
февраль 2023;512;0,00053;
март 2023;342;0,00038;
апрель 2023;465;0,00053;
май 2023;422;0,00052;
июнь 2023;577;0,00069;
июль 2023;451;0,00055;
август 2023;306;0,00036;
сентябрь 2023;259;0,00028;
октябрь 2023;242;0,00026;
ноябрь 2023;316;0,00035;
декабрь 2023;248;0,00026;
январь 2024;188;0,00021;
февраль 2024;300;0,00034;
март 2024;237;0,00028;
апрель 2024;253;0,00031;
май 2024;338;0,00046;
июнь 2024;395;0,00052;
июль 2024;248;0,00033;
август 2024;252;0,00032;
сентябрь 2024;211;0,00024;
октябрь 2024;231;0,00026;
ноябрь 2024;304;0,00034;
декабрь 2024;211;0,00023;
