Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Вологодская область, все устройства
декабрь 2017;274;0,00050;
январь 2018;282;0,00053;
февраль 2018;305;0,00054;
март 2018;278;0,00053;
апрель 2018;304;0,00062;
май 2018;268;0,00060;
июнь 2018;288;0,00064;
июль 2018;248;0,00054;
август 2018;246;0,00045;
сентябрь 2018;199;0,00032;
октябрь 2018;234;0,00042;
ноябрь 2018;258;0,00047;
декабрь 2018;272;0,00048;
январь 2019;212;0,00039;
февраль 2019;264;0,00045;
март 2019;271;0,00050;
апрель 2019;223;0,00044;
май 2019;360;0,00080;
июнь 2019;262;0,00057;
июль 2019;294;0,00064;
август 2019;270;0,00054;
сентябрь 2019;257;0,00045;
октябрь 2019;224;0,00039;
ноябрь 2019;369;0,00062;
декабрь 2019;193;0,00032;
январь 2020;237;0,00040;
февраль 2020;283;0,00044;
март 2020;206;0,00024;
апрель 2020;196;0,00026;
май 2020;239;0,00042;
июнь 2020;188;0,00035;
июль 2020;282;0,00053;
август 2020;207;0,00034;
сентябрь 2020;193;0,00028;
октябрь 2020;194;0,00027;
ноябрь 2020;212;0,00031;
декабрь 2020;225;0,00034;
январь 2021;148;0,00023;
февраль 2021;237;0,00034;
март 2021;144;0,00019;
апрель 2021;121;0,00016;
май 2021;127;0,00019;
июнь 2021;113;0,00019;
июль 2021;142;0,00023;
август 2021;155;0,00021;
сентябрь 2021;216;0,00026;
октябрь 2021;169;0,00020;
ноябрь 2021;271;0,00032;
декабрь 2021;135;0,00015;
январь 2022;170;0,00020;
февраль 2022;450;0,00049;
март 2022;503;0,00058;
апрель 2022;581;0,00068;
май 2022;721;0,00097;
июнь 2022;588;0,00082;
июль 2022;671;0,00093;
август 2022;499;0,00060;
сентябрь 2022;482;0,00054;
октябрь 2022;444;0,00049;
ноябрь 2022;604;0,00068;
декабрь 2022;420;0,00047;
январь 2023;360;0,00044;
февраль 2023;422;0,00046;
март 2023;334;0,00039;
апрель 2023;345;0,00042;
май 2023;321;0,00043;
июнь 2023;464;0,00063;
июль 2023;326;0,00046;
август 2023;227;0,00029;
сентябрь 2023;295;0,00033;
октябрь 2023;239;0,00028;
ноябрь 2023;283;0,00033;
декабрь 2023;315;0,00036;
январь 2024;283;0,00034;
февраль 2024;388;0,00046;
март 2024;298;0,00037;
апрель 2024;324;0,00042;
май 2024;283;0,00042;
июнь 2024;320;0,00048;
июль 2024;325;0,00049;
август 2024;245;0,00034;
сентябрь 2024;253;0,00031;
октябрь 2024;314;0,00038;
ноябрь 2024;257;0,00030;
декабрь 2024;381;0,00044;
