Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Тыва, все устройства
декабрь 2017;7;0,000137;
январь 2018;6;0,000123;
февраль 2018;7;0,000127;
март 2018;15;0,000315;
апрель 2018;15;0,000322;
май 2018;10;0,000245;
июнь 2018;13;0,000317;
июль 2018;13;0,000320;
август 2018;5;0,000105;
сентябрь 2018;4;0,000071;
октябрь 2018;11;0,000197;
ноябрь 2018;8;0,000140;
декабрь 2018;13;0,000231;
январь 2019;11;0,000196;
февраль 2019;4;0,000067;
март 2019;7;0,000120;
апрель 2019;3;0,000054;
май 2019;1;0,000021;
июнь 2019;13;0,000280;
июль 2019;5;0,000107;
август 2019;6;0,000113;
сентябрь 2019;2;0,000032;
октябрь 2019;14;0,000212;
ноябрь 2019;14;0,000189;
декабрь 2019;27;0,000364;
январь 2020;12;0,000173;
февраль 2020;14;0,000177;
март 2020;7;0,000064;
апрель 2020;8;0,000080;
май 2020;7;0,000083;
июнь 2020;30;0,000429;
июль 2020;6;0,000089;
август 2020;2;0,000025;
сентябрь 2020;7;0,000073;
октябрь 2020;3;0,000028;
ноябрь 2020;17;0,000160;
декабрь 2020;5;0,000052;
январь 2021;15;0,000175;
февраль 2021;0;0;
март 2021;11;0,000112;
апрель 2021;7;0,000074;
май 2021;5;0,000059;
июнь 2021;11;0,000135;
июль 2021;7;0,000087;
август 2021;1;0,000010;
сентябрь 2021;4;0,000037;
октябрь 2021;6;0,000051;
ноябрь 2021;4;0,000032;
декабрь 2021;4;0,000034;
январь 2022;5;0,000040;
февраль 2022;12;0,000094;
март 2022;19;0,000162;
апрель 2022;14;0,000126;
май 2022;16;0,000170;
июнь 2022;18;0,000200;
июль 2022;26;0,000295;
август 2022;15;0,000138;
сентябрь 2022;24;0,000196;
октябрь 2022;45;0,000345;
ноябрь 2022;38;0,000274;
декабрь 2022;12;0,000092;
январь 2023;33;0,000288;
февраль 2023;25;0,000190;
март 2023;34;0,000264;
апрель 2023;23;0,000185;
май 2023;12;0,000120;
июнь 2023;16;0,000168;
июль 2023;10;0,000105;
август 2023;17;0,000149;
сентябрь 2023;34;0,000264;
октябрь 2023;16;0,000121;
ноябрь 2023;2;0,000013;
декабрь 2023;3;0,000022;
январь 2024;7;0,000056;
февраль 2024;8;0,000063;
март 2024;15;0,000121;
апрель 2024;3;0,000026;
май 2024;12;0,000132;
июнь 2024;7;0,000078;
июль 2024;13;0,000149;
август 2024;2;0,000019;
сентябрь 2024;25;0,000203;
октябрь 2024;24;0,000181;
ноябрь 2024;2;0,000014;
декабрь 2024;8;0,000059;
