Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Хакасия, все устройства
декабрь 2017;60;0,000316;
январь 2018;49;0,000269;
февраль 2018;58;0,000299;
март 2018;27;0,000152;
апрель 2018;48;0,000257;
май 2018;54;0,000344;
июнь 2018;30;0,000176;
июль 2018;35;0,000204;
август 2018;28;0,000147;
сентябрь 2018;43;0,000198;
октябрь 2018;49;0,000243;
ноябрь 2018;31;0,000155;
декабрь 2018;24;0,000119;
январь 2019;63;0,000321;
февраль 2019;41;0,000207;
март 2019;30;0,000151;
апрель 2019;59;0,000316;
май 2019;43;0,000263;
июнь 2019;33;0,000198;
июль 2019;35;0,000208;
август 2019;9;0,000050;
сентябрь 2019;60;0,000293;
октябрь 2019;32;0,000154;
ноябрь 2019;62;0,000280;
декабрь 2019;33;0,000142;
январь 2020;56;0,000253;
февраль 2020;42;0,000174;
март 2020;37;0,000123;
апрель 2020;57;0,000206;
май 2020;29;0,000122;
июнь 2020;18;0,000084;
июль 2020;22;0,000103;
август 2020;29;0,000124;
сентябрь 2020;34;0,000124;
октябрь 2020;73;0,000238;
ноябрь 2020;57;0,000200;
декабрь 2020;22;0,000082;
январь 2021;23;0,000092;
февраль 2021;25;0,000095;
март 2021;71;0,000264;
апрель 2021;44;0,000165;
май 2021;47;0,000188;
июнь 2021;27;0,000114;
июль 2021;52;0,000214;
август 2021;16;0,000061;
сентябрь 2021;17;0,000058;
октябрь 2021;20;0,000066;
ноябрь 2021;32;0,000102;
декабрь 2021;35;0,000112;
январь 2022;55;0,000173;
февраль 2022;114;0,000351;
март 2022;132;0,000429;
апрель 2022;72;0,000244;
май 2022;104;0,000382;
июнь 2022;69;0,000255;
июль 2022;98;0,000361;
август 2022;118;0,000398;
сентябрь 2022;126;0,000392;
октябрь 2022;58;0,000173;
ноябрь 2022;72;0,000213;
декабрь 2022;39;0,000116;
январь 2023;72;0,000232;
февраль 2023;59;0,000177;
март 2023;53;0,000162;
апрель 2023;77;0,000248;
май 2023;87;0,000322;
июнь 2023;100;0,000373;
июль 2023;33;0,000121;
август 2023;43;0,000149;
сентябрь 2023;44;0,000138;
октябрь 2023;22;0,000069;
ноябрь 2023;34;0,000102;
декабрь 2023;37;0,000111;
январь 2024;30;0,000096;
февраль 2024;57;0,000184;
март 2024;39;0,000132;
апрель 2024;60;0,000215;
май 2024;29;0,000120;
июнь 2024;53;0,000216;
июль 2024;39;0,000158;
август 2024;35;0,000132;
сентябрь 2024;31;0,000104;
октябрь 2024;50;0,000163;
ноябрь 2024;96;0,000300;
декабрь 2024;26;0,000081;
