Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Магаданская область, все устройства
декабрь 2017;15;0,000445;
январь 2018;6;0,000183;
февраль 2018;32;0,000849;
март 2018;37;0,001040;
апрель 2018;13;0,000361;
май 2018;24;0,000781;
июнь 2018;27;0,000919;
июль 2018;11;0,000375;
август 2018;12;0,000347;
сентябрь 2018;26;0,000618;
октябрь 2018;31;0,000748;
ноябрь 2018;16;0,000404;
декабрь 2018;10;0,000246;
январь 2019;20;0,000496;
февраль 2019;20;0,000464;
март 2019;17;0,000418;
апрель 2019;11;0,000299;
май 2019;11;0,000343;
июнь 2019;12;0,000401;
июль 2019;6;0,000206;
август 2019;15;0,000432;
сентябрь 2019;5;0,000113;
октябрь 2019;19;0,000425;
ноябрь 2019;31;0,000659;
декабрь 2019;9;0,000187;
январь 2020;11;0,000236;
февраль 2020;28;0,000543;
март 2020;16;0,000243;
апрель 2020;7;0,000118;
май 2020;22;0,000461;
июнь 2020;4;0,000092;
июль 2020;18;0,000432;
август 2020;12;0,000254;
сентябрь 2020;16;0,000275;
октябрь 2020;19;0,000310;
ноябрь 2020;19;0,000325;
декабрь 2020;16;0,000270;
январь 2021;10;0,000181;
февраль 2021;13;0,000219;
март 2021;13;0,000213;
апрель 2021;29;0,000488;
май 2021;6;0,000112;
июнь 2021;5;0,000102;
июль 2021;4;0,000083;
август 2021;8;0,000144;
сентябрь 2021;11;0,000170;
октябрь 2021;12;0,000183;
ноябрь 2021;2;0,000030;
декабрь 2021;9;0,000135;
январь 2022;3;0,000045;
февраль 2022;26;0,000360;
март 2022;57;0,000807;
апрель 2022;37;0,000517;
май 2022;148;0,002349;
июнь 2022;100;0,001716;
июль 2022;96;0,001610;
август 2022;54;0,000797;
сентябрь 2022;74;0,000996;
октябрь 2022;80;0,000991;
ноябрь 2022;74;0,000980;
декабрь 2022;41;0,000544;
январь 2023;28;0,000399;
февраль 2023;81;0,001063;
март 2023;46;0,000630;
апрель 2023;25;0,000351;
май 2023;30;0,000501;
июнь 2023;42;0,000726;
июль 2023;85;0,001501;
август 2023;28;0,000436;
сентябрь 2023;37;0,000527;
октябрь 2023;15;0,000215;
ноябрь 2023;10;0,000143;
декабрь 2023;15;0,000215;
январь 2024;25;0,000373;
февраль 2024;25;0,000357;
март 2024;16;0,000240;
апрель 2024;22;0,000348;
май 2024;31;0,000562;
июнь 2024;88;0,001701;
июль 2024;30;0,000581;
август 2024;21;0,000369;
сентябрь 2024;17;0,000256;
октябрь 2024;24;0,000351;
ноябрь 2024;15;0,000212;
декабрь 2024;4;0,000058;
