Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Сахалинская область, все устройства
декабрь 2017;43;0,00033;
январь 2018;24;0,00018;
февраль 2018;51;0,00036;
март 2018;59;0,00045;
апрель 2018;55;0,00041;
май 2018;52;0,00042;
июнь 2018;47;0,00038;
июль 2018;41;0,00034;
август 2018;47;0,00035;
сентябрь 2018;42;0,00027;
октябрь 2018;46;0,00031;
ноябрь 2018;35;0,00024;
декабрь 2018;24;0,00016;
январь 2019;37;0,00026;
февраль 2019;35;0,00023;
март 2019;27;0,00018;
апрель 2019;55;0,00042;
май 2019;44;0,00036;
июнь 2019;27;0,00022;
июль 2019;38;0,00032;
август 2019;40;0,00031;
сентябрь 2019;47;0,00030;
октябрь 2019;33;0,00021;
ноябрь 2019;186;0,00112;
декабрь 2019;54;0,00031;
январь 2020;43;0,00025;
февраль 2020;65;0,00034;
март 2020;38;0,00016;
апрель 2020;33;0,00015;
май 2020;38;0,00021;
июнь 2020;37;0,00023;
июль 2020;47;0,00029;
август 2020;52;0,00030;
сентябрь 2020;71;0,00035;
октябрь 2020;80;0,00038;
ноябрь 2020;51;0,00025;
декабрь 2020;48;0,00024;
январь 2021;62;0,00032;
февраль 2021;29;0,00014;
март 2021;46;0,00021;
апрель 2021;26;0,00012;
май 2021;49;0,00025;
июнь 2021;44;0,00024;
июль 2021;25;0,00012;
август 2021;24;0,00011;
сентябрь 2021;42;0,00018;
октябрь 2021;33;0,00014;
ноябрь 2021;35;0,00014;
декабрь 2021;31;0,00012;
январь 2022;45;0,00018;
февраль 2022;101;0,00038;
март 2022;149;0,00058;
апрель 2022;194;0,00078;
май 2022;182;0,00081;
июнь 2022;152;0,00071;
июль 2022;187;0,00084;
август 2022;142;0,00058;
сентябрь 2022;119;0,00045;
октябрь 2022;145;0,00051;
ноябрь 2022;182;0,00066;
декабрь 2022;113;0,00042;
январь 2023;183;0,00073;
февраль 2023;178;0,00065;
март 2023;129;0,00049;
апрель 2023;153;0,00061;
май 2023;138;0,00062;
июнь 2023;120;0,00056;
июль 2023;166;0,00076;
август 2023;77;0,00033;
сентябрь 2023;65;0,00025;
октябрь 2023;103;0,00040;
ноябрь 2023;208;0,00081;
декабрь 2023;120;0,00046;
январь 2024;60;0,00024;
февраль 2024;79;0,00031;
март 2024;101;0,00042;
апрель 2024;65;0,00027;
май 2024;119;0,00058;
июнь 2024;156;0,00077;
июль 2024;73;0,00035;
август 2024;86;0,00041;
сентябрь 2024;59;0,00024;
октябрь 2024;58;0,00023;
ноябрь 2024;127;0,00049;
декабрь 2024;100;0,00039;
