Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Курская область, все устройства
декабрь 2017;136;0,00028;
январь 2018;131;0,00027;
февраль 2018;326;0,00063;
март 2018;200;0,00044;
апрель 2018;214;0,00048;
май 2018;248;0,00060;
июнь 2018;229;0,00054;
июль 2018;173;0,00042;
август 2018;132;0,00027;
сентябрь 2018;153;0,00027;
октябрь 2018;169;0,00033;
ноябрь 2018;216;0,00042;
декабрь 2018;187;0,00035;
январь 2019;140;0,00027;
февраль 2019;163;0,00030;
март 2019;237;0,00048;
апрель 2019;216;0,00045;
май 2019;138;0,00032;
июнь 2019;205;0,00047;
июль 2019;177;0,00042;
август 2019;133;0,00029;
сентябрь 2019;138;0,00026;
октябрь 2019;172;0,00032;
ноябрь 2019;341;0,00060;
декабрь 2019;206;0,00035;
январь 2020;179;0,00032;
февраль 2020;180;0,00030;
март 2020;120;0,00016;
апрель 2020;122;0,00017;
май 2020;138;0,00025;
июнь 2020;165;0,00032;
июль 2020;138;0,00027;
август 2020;160;0,00028;
сентябрь 2020;123;0,00018;
октябрь 2020;124;0,00016;
ноябрь 2020;145;0,00019;
декабрь 2020;114;0,00016;
январь 2021;169;0,00025;
февраль 2021;160;0,00022;
март 2021;179;0,00024;
апрель 2021;155;0,00021;
май 2021;154;0,00022;
июнь 2021;113;0,00018;
июль 2021;129;0,00020;
август 2021;125;0,00017;
сентябрь 2021;144;0,00018;
октябрь 2021;116;0,00013;
ноябрь 2021;216;0,00026;
декабрь 2021;259;0,00031;
январь 2022;136;0,00015;
февраль 2022;503;0,00056;
март 2022;429;0,00050;
апрель 2022;480;0,00059;
май 2022;543;0,00075;
июнь 2022;460;0,00065;
июль 2022;482;0,00068;
август 2022;476;0,00059;
сентябрь 2022;374;0,00042;
октябрь 2022;457;0,00052;
ноябрь 2022;361;0,00041;
декабрь 2022;209;0,00024;
январь 2023;303;0,00037;
февраль 2023;436;0,00049;
март 2023;311;0,00038;
апрель 2023;339;0,00043;
май 2023;238;0,00032;
июнь 2023;376;0,00053;
июль 2023;286;0,00042;
август 2023;187;0,00025;
сентябрь 2023;256;0,00030;
октябрь 2023;161;0,00019;
ноябрь 2023;244;0,00029;
декабрь 2023;197;0,00023;
январь 2024;185;0,00023;
февраль 2024;268;0,00033;
март 2024;188;0,00025;
апрель 2024;229;0,00031;
май 2024;230;0,00035;
июнь 2024;173;0,00027;
июль 2024;157;0,00026;
август 2024;183;0,00024;
сентябрь 2024;127;0,00015;
октябрь 2024;141;0,00016;
ноябрь 2024;159;0,00018;
декабрь 2024;90;0,00010;
