Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Кировская область, все устройства
декабрь 2017;180;0,000361;
январь 2018;170;0,000345;
февраль 2018;138;0,000259;
март 2018;130;0,000257;
апрель 2018;114;0,000228;
май 2018;143;0,000303;
июнь 2018;174;0,000381;
июль 2018;124;0,000274;
август 2018;131;0,000245;
сентябрь 2018;114;0,000189;
октябрь 2018;75;0,000139;
ноябрь 2018;98;0,000180;
декабрь 2018;83;0,000151;
январь 2019;126;0,000242;
февраль 2019;126;0,000227;
март 2019;150;0,000283;
апрель 2019;92;0,000186;
май 2019;75;0,000165;
июнь 2019;103;0,000224;
июль 2019;114;0,000240;
август 2019;98;0,000186;
сентябрь 2019;95;0,000161;
октябрь 2019;142;0,000242;
ноябрь 2019;244;0,000421;
декабрь 2019;129;0,000215;
январь 2020;135;0,000231;
февраль 2020;94;0,000145;
март 2020;59;0,000070;
апрель 2020;105;0,000133;
май 2020;99;0,000165;
июнь 2020;80;0,000150;
июль 2020;72;0,000136;
август 2020;91;0,000149;
сентябрь 2020;82;0,000118;
октябрь 2020;116;0,000158;
ноябрь 2020;175;0,000248;
декабрь 2020;103;0,000151;
январь 2021;72;0,000110;
февраль 2021;72;0,000103;
март 2021;75;0,000103;
апрель 2021;67;0,000094;
май 2021;167;0,000253;
июнь 2021;127;0,000205;
июль 2021;66;0,000104;
август 2021;71;0,000098;
сентябрь 2021;108;0,000137;
октябрь 2021;129;0,000161;
ноябрь 2021;180;0,000217;
декабрь 2021;58;0,000070;
январь 2022;83;0,000104;
февраль 2022;319;0,000364;
март 2022;327;0,000393;
апрель 2022;313;0,000381;
май 2022;298;0,000410;
июнь 2022;404;0,000576;
июль 2022;462;0,000631;
август 2022;246;0,000295;
сентябрь 2022;222;0,000250;
октябрь 2022;270;0,000320;
ноябрь 2022;299;0,000357;
декабрь 2022;224;0,000265;
январь 2023;194;0,000249;
февраль 2023;239;0,000275;
март 2023;249;0,000310;
апрель 2023;231;0,000294;
май 2023;226;0,000317;
июнь 2023;289;0,000411;
июль 2023;177;0,000257;
август 2023;78;0,000104;
сентябрь 2023;80;0,000096;
октябрь 2023;57;0,000069;
ноябрь 2023;92;0,000110;
декабрь 2023;75;0,000090;
январь 2024;109;0,000141;
февраль 2024;158;0,000199;
март 2024;103;0,000135;
апрель 2024;115;0,000154;
май 2024;88;0,000139;
июнь 2024;107;0,000170;
июль 2024;122;0,000195;
август 2024;105;0,000155;
сентябрь 2024;77;0,000100;
октябрь 2024;105;0,000132;
ноябрь 2024;103;0,000128;
декабрь 2024;104;0,000128;
