Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Ярославская область, все устройства
декабрь 2017;285;0,00047;
январь 2018;221;0,00037;
февраль 2018;389;0,00059;
март 2018;336;0,00056;
апрель 2018;300;0,00052;
май 2018;394;0,00072;
июнь 2018;328;0,00059;
июль 2018;377;0,00068;
август 2018;268;0,00041;
сентябрь 2018;327;0,00044;
октябрь 2018;234;0,00035;
ноябрь 2018;272;0,00041;
декабрь 2018;244;0,00035;
январь 2019;240;0,00036;
февраль 2019;208;0,00029;
март 2019;258;0,00039;
апрель 2019;228;0,00035;
май 2019;355;0,00059;
июнь 2019;286;0,00046;
июль 2019;247;0,00040;
август 2019;256;0,00039;
сентябрь 2019;280;0,00038;
октябрь 2019;238;0,00033;
ноябрь 2019;570;0,00077;
декабрь 2019;319;0,00042;
январь 2020;344;0,00048;
февраль 2020;387;0,00049;
март 2020;242;0,00024;
апрель 2020;214;0,00023;
май 2020;238;0,00033;
июнь 2020;244;0,00035;
июль 2020;226;0,00033;
август 2020;191;0,00026;
сентябрь 2020;256;0,00030;
октябрь 2020;220;0,00025;
ноябрь 2020;226;0,00027;
декабрь 2020;211;0,00025;
январь 2021;168;0,00021;
февраль 2021;256;0,00028;
март 2021;287;0,00031;
апрель 2021;149;0,00016;
май 2021;161;0,00019;
июнь 2021;263;0,00033;
июль 2021;171;0,00020;
август 2021;166;0,00018;
сентябрь 2021;218;0,00022;
октябрь 2021;136;0,00013;
ноябрь 2021;173;0,00016;
декабрь 2021;149;0,00014;
январь 2022;266;0,00026;
февраль 2022;659;0,00059;
март 2022;734;0,00069;
апрель 2022;726;0,00070;
май 2022;842;0,00090;
июнь 2022;661;0,00073;
июль 2022;759;0,00083;
август 2022;632;0,00062;
сентябрь 2022;619;0,00057;
октябрь 2022;543;0,00050;
ноябрь 2022;504;0,00046;
декабрь 2022;448;0,00041;
январь 2023;394;0,00039;
февраль 2023;487;0,00044;
март 2023;415;0,00041;
апрель 2023;494;0,00050;
май 2023;459;0,00050;
июнь 2023;479;0,00053;
июль 2023;391;0,00044;
август 2023;238;0,00025;
сентябрь 2023;297;0,00028;
октябрь 2023;264;0,00025;
ноябрь 2023;261;0,00025;
декабрь 2023;255;0,00024;
январь 2024;225;0,00023;
февраль 2024;247;0,00024;
март 2024;234;0,00024;
апрель 2024;185;0,00020;
май 2024;214;0,00026;
июнь 2024;325;0,00040;
июль 2024;183;0,00023;
август 2024;231;0,00027;
сентябрь 2024;225;0,00023;
октябрь 2024;276;0,00027;
ноябрь 2024;275;0,00026;
декабрь 2024;215;0,00020;
