Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Калмыкия, все устройства
декабрь 2017;136;0,00210;
январь 2018;106;0,00167;
февраль 2018;125;0,00180;
март 2018;73;0,00119;
апрель 2018;96;0,00158;
май 2018;66;0,00111;
июнь 2018;89;0,00145;
июль 2018;60;0,00104;
август 2018;54;0,00089;
сентябрь 2018;50;0,00070;
октябрь 2018;77;0,00115;
ноябрь 2018;77;0,00111;
декабрь 2018;67;0,00093;
январь 2019;62;0,00092;
февраль 2019;75;0,00105;
март 2019;73;0,00108;
апрель 2019;81;0,00123;
май 2019;83;0,00136;
июнь 2019;63;0,00103;
июль 2019;58;0,00096;
август 2019;60;0,00096;
сентябрь 2019;70;0,00102;
октябрь 2019;82;0,00117;
ноябрь 2019;64;0,00085;
декабрь 2019;48;0,00061;
январь 2020;44;0,00058;
февраль 2020;97;0,00119;
март 2020;68;0,00060;
апрель 2020;95;0,00089;
май 2020;37;0,00043;
июнь 2020;50;0,00064;
июль 2020;73;0,00095;
август 2020;73;0,00087;
сентябрь 2020;57;0,00058;
октябрь 2020;82;0,00080;
ноябрь 2020;55;0,00055;
декабрь 2020;28;0,00028;
январь 2021;16;0,00018;
февраль 2021;22;0,00022;
март 2021;68;0,00070;
апрель 2021;23;0,00023;
май 2021;28;0,00029;
июнь 2021;59;0,00067;
июль 2021;64;0,00072;
август 2021;47;0,00048;
сентябрь 2021;16;0,00015;
октябрь 2021;27;0,00024;
ноябрь 2021;37;0,00030;
декабрь 2021;40;0,00032;
январь 2022;32;0,00026;
февраль 2022;82;0,00067;
март 2022;83;0,00072;
апрель 2022;89;0,00077;
май 2022;89;0,00086;
июнь 2022;63;0,00060;
июль 2022;89;0,00086;
август 2022;69;0,00063;
сентябрь 2022;59;0,00049;
октябрь 2022;43;0,00035;
ноябрь 2022;56;0,00042;
декабрь 2022;31;0,00025;
январь 2023;40;0,00036;
февраль 2023;59;0,00049;
март 2023;45;0,00039;
апрель 2023;42;0,00036;
май 2023;46;0,00045;
июнь 2023;44;0,00042;
июль 2023;41;0,00040;
август 2023;40;0,00038;
сентябрь 2023;21;0,00018;
октябрь 2023;33;0,00028;
ноябрь 2023;21;0,00017;
декабрь 2023;24;0,00020;
январь 2024;23;0,00020;
февраль 2024;35;0,00031;
март 2024;45;0,00043;
апрель 2024;17;0,00016;
май 2024;25;0,00027;
июнь 2024;28;0,00029;
июль 2024;16;0,00017;
август 2024;35;0,00036;
сентябрь 2024;56;0,00052;
октябрь 2024;49;0,00043;
ноябрь 2024;25;0,00021;
декабрь 2024;20;0,00016;
