Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;258;0,00035;
январь 2018;275;0,00037;
февраль 2018;494;0,00064;
март 2018;314;0,00044;
апрель 2018;267;0,00037;
май 2018;383;0,00065;
июнь 2018;360;0,00066;
июль 2018;288;0,00051;
август 2018;260;0,00037;
сентябрь 2018;299;0,00036;
октябрь 2018;444;0,00058;
ноябрь 2018;397;0,00052;
декабрь 2018;294;0,00037;
январь 2019;303;0,00038;
февраль 2019;348;0,00044;
март 2019;323;0,00042;
апрель 2019;265;0,00037;
май 2019;290;0,00049;
июнь 2019;236;0,00044;
июль 2019;264;0,00048;
август 2019;229;0,00034;
сентябрь 2019;296;0,00038;
октябрь 2019;287;0,00035;
ноябрь 2019;1 740;0,00208;
декабрь 2019;563;0,00065;
январь 2020;517;0,00061;
февраль 2020;717;0,00077;
март 2020;393;0,00032;
апрель 2020;341;0,00032;
май 2020;400;0,00047;
июнь 2020;298;0,00042;
июль 2020;303;0,00043;
август 2020;255;0,00029;
сентябрь 2020;327;0,00031;
октябрь 2020;335;0,00028;
ноябрь 2020;389;0,00036;
декабрь 2020;268;0,00026;
январь 2021;204;0,00021;
февраль 2021;269;0,00027;
март 2021;255;0,00025;
апрель 2021;215;0,00022;
май 2021;273;0,00031;
июнь 2021;182;0,00023;
июль 2021;298;0,00038;
август 2021;184;0,00019;
сентябрь 2021;238;0,00022;
октябрь 2021;196;0,00017;
ноябрь 2021;246;0,00020;
декабрь 2021;170;0,00014;
январь 2022;247;0,00021;
февраль 2022;599;0,00049;
март 2022;671;0,00058;
апрель 2022;788;0,00071;
май 2022;915;0,00093;
июнь 2022;743;0,00085;
июль 2022;787;0,00086;
август 2022;606;0,00056;
сентябрь 2022;536;0,00045;
октябрь 2022;560;0,00045;
ноябрь 2022;633;0,00049;
декабрь 2022;466;0,00037;
январь 2023;366;0,00032;
февраль 2023;700;0,00056;
март 2023;566;0,00047;
апрель 2023;514;0,00046;
май 2023;503;0,00053;
июнь 2023;480;0,00056;
июль 2023;505;0,00059;
август 2023;420;0,00041;
сентябрь 2023;293;0,00025;
октябрь 2023;302;0,00026;
ноябрь 2023;399;0,00032;
декабрь 2023;405;0,00034;
январь 2024;343;0,00030;
февраль 2024;436;0,00037;
март 2024;335;0,00029;
апрель 2024;380;0,00035;
май 2024;432;0,00052;
июнь 2024;451;0,00058;
июль 2024;320;0,00041;
август 2024;392;0,00042;
сентябрь 2024;329;0,00030;
октябрь 2024;322;0,00028;
ноябрь 2024;391;0,00032;
декабрь 2024;261;0,00022;
