Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;343;0,00035;
январь 2018;261;0,00027;
февраль 2018;388;0,00039;
март 2018;323;0,00035;
апрель 2018;318;0,00034;
май 2018;334;0,00041;
июнь 2018;327;0,00040;
июль 2018;323;0,00039;
август 2018;300;0,00031;
сентябрь 2018;232;0,00020;
октябрь 2018;322;0,00031;
ноябрь 2018;368;0,00035;
декабрь 2018;299;0,00028;
январь 2019;275;0,00026;
февраль 2019;279;0,00026;
март 2019;245;0,00023;
апрель 2019;235;0,00024;
май 2019;240;0,00027;
июнь 2019;308;0,00036;
июль 2019;258;0,00030;
август 2019;278;0,00029;
сентябрь 2019;315;0,00028;
октябрь 2019;250;0,00022;
ноябрь 2019;851;0,00073;
декабрь 2019;406;0,00034;
январь 2020;291;0,00025;
февраль 2020;429;0,00034;
март 2020;369;0,00023;
апрель 2020;291;0,00021;
май 2020;239;0,00021;
июнь 2020;236;0,00022;
июль 2020;233;0,00022;
август 2020;200;0,00016;
сентябрь 2020;364;0,00025;
октябрь 2020;324;0,00020;
ноябрь 2020;397;0,00027;
декабрь 2020;344;0,00024;
январь 2021;266;0,00020;
февраль 2021;217;0,00015;
март 2021;239;0,00016;
апрель 2021;232;0,00016;
май 2021;234;0,00018;
июнь 2021;261;0,00021;
июль 2021;233;0,00018;
август 2021;225;0,00016;
сентябрь 2021;256;0,00017;
октябрь 2021;225;0,00014;
ноябрь 2021;260;0,00016;
декабрь 2021;206;0,00013;
январь 2022;242;0,00015;
февраль 2022;543;0,00032;
март 2022;619;0,00038;
апрель 2022;833;0,00055;
май 2022;804;0,00059;
июнь 2022;779;0,00058;
июль 2022;963;0,00071;
август 2022;591;0,00039;
сентябрь 2022;692;0,00042;
октябрь 2022;664;0,00038;
ноябрь 2022;624;0,00036;
декабрь 2022;450;0,00026;
январь 2023;500;0,00032;
февраль 2023;720;0,00042;
март 2023;597;0,00036;
апрель 2023;544;0,00035;
май 2023;587;0,00043;
июнь 2023;691;0,00054;
июль 2023;679;0,00052;
август 2023;464;0,00032;
сентябрь 2023;437;0,00027;
октябрь 2023;350;0,00022;
ноябрь 2023;399;0,00024;
декабрь 2023;362;0,00022;
январь 2024;367;0,00023;
февраль 2024;468;0,00030;
март 2024;413;0,00027;
апрель 2024;455;0,00032;
май 2024;531;0,00044;
июнь 2024;631;0,00053;
июль 2024;550;0,00046;
август 2024;565;0,00042;
сентябрь 2024;576;0,00037;
октябрь 2024;740;0,00047;
ноябрь 2024;698;0,00041;
декабрь 2024;650;0,00040;
