Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;25 347;0,00202;
январь 2018;25 154;0,00191;
февраль 2018;33 076;0,00232;
март 2018;28 768;0,00225;
апрель 2018;28 805;0,00227;
май 2018;30 171;0,00259;
июнь 2018;30 108;0,00251;
июль 2018;29 147;0,00245;
август 2018;26 509;0,00192;
сентябрь 2018;25 629;0,00161;
октябрь 2018;28 248;0,00190;
ноябрь 2018;27 368;0,00184;
декабрь 2018;19 786;0,00131;
январь 2019;20 440;0,00146;
февраль 2019;22 623;0,00158;
март 2019;21 407;0,00158;
апрель 2019;21 178;0,00165;
май 2019;20 769;0,00174;
июнь 2019;21 818;0,00173;
июль 2019;20 122;0,00171;
август 2019;18 683;0,00140;
сентябрь 2019;19 474;0,00131;
октябрь 2019;17 341;0,00120;
ноябрь 2019;49 027;0,00330;
декабрь 2019;22 735;0,00151;
январь 2020;22 397;0,00151;
февраль 2020;29 005;0,00185;
март 2020;19 644;0,00115;
апрель 2020;18 534;0,00117;
май 2020;19 959;0,00142;
июнь 2020;19 508;0,00142;
июль 2020;18 435;0,00137;
август 2020;18 082;0,00116;
сентябрь 2020;19 467;0,00113;
октябрь 2020;19 514;0,00106;
ноябрь 2020;22 056;0,00124;
декабрь 2020;14 377;0,00089;
январь 2021;14 340;0,00091;
февраль 2021;17 264;0,00099;
март 2021;18 974;0,00111;
апрель 2021;17 652;0,00115;
май 2021;17 387;0,00116;
июнь 2021;18 820;0,00116;
июль 2021;19 534;0,00114;
август 2021;15 430;0,00090;
сентябрь 2021;14 436;0,00084;
октябрь 2021;13 946;0,00084;
ноябрь 2021;14 504;0,00085;
декабрь 2021;13 724;0,00079;
январь 2022;18 267;0,00104;
февраль 2022;36 410;0,00201;
март 2022;38 673;0,00230;
апрель 2022;47 300;0,00266;
май 2022;51 214;0,00334;
июнь 2022;43 486;0,00304;
июль 2022;42 059;0,00271;
август 2022;35 927;0,00209;
сентябрь 2022;37 153;0,00222;
октябрь 2022;33 903;0,00201;
ноябрь 2022;32 449;0,00197;
декабрь 2022;22 628;0,00147;
январь 2023;22 578;0,00155;
февраль 2023;31 742;0,00196;
март 2023;26 237;0,00182;
апрель 2023;24 812;0,00175;
май 2023;24 784;0,00191;
июнь 2023;31 392;0,00257;
июль 2023;28 294;0,00232;
август 2023;21 932;0,00160;
сентябрь 2023;22 461;0,00143;
октябрь 2023;19 306;0,00129;
ноябрь 2023;21 632;0,00142;
декабрь 2023;20 800;0,00130;
январь 2024;20 346;0,00143;
февраль 2024;25 942;0,00173;
март 2024;38 690;0,00279;
апрель 2024;37 636;0,00272;
май 2024;29 515;0,00251;
июнь 2024;23 576;0,00210;
июль 2024;48 197;0,00426;
август 2024;40 888;0,00329;
сентябрь 2024;44 138;0,00311;
октябрь 2024;54 552;0,00361;
ноябрь 2024;44 238;0,00289;
декабрь 2024;33 601;0,00229;
