Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;1 209;0,00078;
январь 2018;1 151;0,00068;
февраль 2018;1 896;0,00094;
март 2018;1 588;0,00084;
апрель 2018;1 403;0,00078;
май 2018;1 612;0,00095;
июнь 2018;1 673;0,00095;
июль 2018;1 754;0,00100;
август 2018;1 523;0,00075;
сентябрь 2018;1 250;0,00054;
октябрь 2018;1 299;0,00060;
ноябрь 2018;1 404;0,00065;
декабрь 2018;1 003;0,00045;
январь 2019;1 028;0,00048;
февраль 2019;1 335;0,00060;
март 2019;1 308;0,00062;
апрель 2019;1 312;0,00065;
май 2019;1 554;0,00085;
июнь 2019;1 274;0,00069;
июль 2019;1 164;0,00061;
август 2019;1 176;0,00058;
сентябрь 2019;1 074;0,00050;
октябрь 2019;1 018;0,00048;
ноябрь 2019;2 597;0,00123;
декабрь 2019;1 401;0,00066;
январь 2020;1 443;0,00070;
февраль 2020;1 400;0,00061;
март 2020;1 459;0,00050;
апрель 2020;1 281;0,00052;
май 2020;1 056;0,00056;
июнь 2020;949;0,00059;
июль 2020;881;0,00053;
август 2020;831;0,00045;
сентябрь 2020;957;0,00047;
октябрь 2020;1 011;0,00045;
ноябрь 2020;1 327;0,00059;
декабрь 2020;1 089;0,00054;
январь 2021;843;0,00044;
февраль 2021;952;0,00044;
март 2021;871;0,00041;
апрель 2021;717;0,00036;
май 2021;828;0,00042;
июнь 2021;701;0,00036;
июль 2021;820;0,00041;
август 2021;624;0,00029;
сентябрь 2021;683;0,00029;
октябрь 2021;757;0,00031;
ноябрь 2021;919;0,00039;
декабрь 2021;793;0,00034;
январь 2022;792;0,00034;
февраль 2022;2 069;0,00080;
март 2022;2 014;0,00086;
апрель 2022;2 451;0,00105;
май 2022;2 426;0,00116;
июнь 2022;2 478;0,00122;
июль 2022;2 500;0,00122;
август 2022;1 903;0,00083;
сентябрь 2022;1 967;0,00080;
октябрь 2022;1 957;0,00078;
ноябрь 2022;2 099;0,00083;
декабрь 2022;1 442;0,00058;
январь 2023;1 681;0,00074;
февраль 2023;1 853;0,00075;
март 2023;1 526;0,00066;
апрель 2023;1 573;0,00069;
май 2023;1 538;0,00074;
июнь 2023;1 908;0,00094;
июль 2023;1 810;0,00090;
август 2023;1 196;0,00056;
сентябрь 2023;1 227;0,00051;
октябрь 2023;1 022;0,00043;
ноябрь 2023;1 228;0,00051;
декабрь 2023;1 081;0,00045;
январь 2024;924;0,00041;
февраль 2024;1 238;0,00053;
март 2024;1 056;0,00049;
апрель 2024;1 006;0,00047;
май 2024;1 353;0,00073;
июнь 2024;1 400;0,00076;
июль 2024;1 281;0,00069;
август 2024;1 250;0,00065;
сентябрь 2024;1 423;0,00063;
октябрь 2024;1 608;0,00068;
ноябрь 2024;1 463;0,00060;
декабрь 2024;1 060;0,00044;
