Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Марий Эл, все устройства
декабрь 2017;42;0,000207;
январь 2018;66;0,000335;
февраль 2018;56;0,000261;
март 2018;39;0,000198;
апрель 2018;54;0,000284;
май 2018;74;0,000417;
июнь 2018;57;0,000334;
июль 2018;58;0,000337;
август 2018;50;0,000249;
сентябрь 2018;49;0,000209;
октябрь 2018;65;0,000302;
ноябрь 2018;62;0,000282;
декабрь 2018;39;0,000177;
январь 2019;35;0,000168;
февраль 2019;68;0,000303;
март 2019;50;0,000237;
апрель 2019;40;0,000205;
май 2019;63;0,000354;
июнь 2019;50;0,000282;
июль 2019;50;0,000282;
август 2019;35;0,000183;
сентябрь 2019;53;0,000232;
октябрь 2019;57;0,000249;
ноябрь 2019;62;0,000253;
декабрь 2019;104;0,000404;
январь 2020;77;0,000312;
февраль 2020;84;0,000313;
март 2020;53;0,000144;
апрель 2020;53;0,000171;
май 2020;79;0,000309;
июнь 2020;48;0,000214;
июль 2020;46;0,000204;
август 2020;50;0,000192;
сентябрь 2020;44;0,000143;
октябрь 2020;43;0,000125;
ноябрь 2020;53;0,000163;
декабрь 2020;54;0,000180;
январь 2021;68;0,000236;
февраль 2021;23;0,000074;
март 2021;52;0,000166;
апрель 2021;27;0,000091;
май 2021;51;0,000184;
июнь 2021;46;0,000179;
июль 2021;28;0,000103;
август 2021;24;0,000079;
сентябрь 2021;40;0,000121;
октябрь 2021;60;0,000175;
ноябрь 2021;45;0,000127;
декабрь 2021;62;0,000176;
январь 2022;95;0,000275;
февраль 2022;209;0,000550;
март 2022;241;0,000669;
апрель 2022;238;0,000673;
май 2022;184;0,000594;
июнь 2022;188;0,000629;
июль 2022;155;0,000524;
август 2022;129;0,000379;
сентябрь 2022;139;0,000375;
октябрь 2022;156;0,000415;
ноябрь 2022;114;0,000297;
декабрь 2022;119;0,000314;
январь 2023;106;0,000304;
февраль 2023;118;0,000307;
март 2023;114;0,000326;
апрель 2023;102;0,000292;
май 2023;92;0,000298;
июнь 2023;141;0,000467;
июль 2023;66;0,000221;
август 2023;57;0,000175;
сентябрь 2023;65;0,000177;
октябрь 2023;35;0,000096;
ноябрь 2023;77;0,000207;
декабрь 2023;73;0,000199;
январь 2024;31;0,000090;
февраль 2024;77;0,000217;
март 2024;35;0,000105;
апрель 2024;63;0,000191;
май 2024;54;0,000197;
июнь 2024;67;0,000245;
июль 2024;51;0,000186;
август 2024;30;0,000102;
сентябрь 2024;28;0,000081;
октябрь 2024;47;0,000131;
ноябрь 2024;49;0,000131;
декабрь 2024;88;0,000237;
