Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Ингушетия, все устройства
декабрь 2017;18;0,000446;
январь 2018;15;0,000377;
февраль 2018;6;0,000139;
март 2018;6;0,000158;
апрель 2018;1;0,000026;
май 2018;17;0,000505;
июнь 2018;3;0,000077;
июль 2018;4;0,000102;
август 2018;7;0,000173;
сентябрь 2018;0;0;
октябрь 2018;4;0,000087;
ноябрь 2018;19;0,000391;
декабрь 2018;2;0,000039;
январь 2019;10;0,000208;
февраль 2019;6;0,000120;
март 2019;1;0,000020;
апрель 2019;19;0,000426;
май 2019;9;0,000219;
июнь 2019;9;0,000205;
июль 2019;2;0,000046;
август 2019;16;0,000360;
сентябрь 2019;15;0,000301;
октябрь 2019;21;0,000407;
ноябрь 2019;20;0,000338;
декабрь 2019;13;0,000214;
январь 2020;10;0,000179;
февраль 2020;25;0,000406;
март 2020;12;0,000157;
апрель 2020;9;0,000129;
май 2020;11;0,000188;
июнь 2020;23;0,000414;
июль 2020;25;0,000465;
август 2020;21;0,000368;
сентябрь 2020;6;0,000090;
октябрь 2020;5;0,000070;
ноябрь 2020;8;0,000118;
декабрь 2020;11;0,000169;
январь 2021;14;0,000237;
февраль 2021;12;0,000191;
март 2021;2;0,000030;
апрель 2021;17;0,000263;
май 2021;4;0,000057;
июнь 2021;1;0,000016;
июль 2021;0;0;
август 2021;8;0,000112;
сентябрь 2021;11;0,000136;
октябрь 2021;14;0,000164;
ноябрь 2021;7;0,000078;
декабрь 2021;10;0,000109;
январь 2022;9;0,000101;
февраль 2022;23;0,000234;
март 2022;27;0,000320;
апрель 2022;49;0,000571;
май 2022;84;0,001037;
июнь 2022;106;0,001328;
июль 2022;108;0,001368;
август 2022;100;0,001194;
сентябрь 2022;45;0,000500;
октябрь 2022;59;0,000619;
ноябрь 2022;33;0,000345;
декабрь 2022;23;0,000239;
январь 2023;15;0,000172;
февраль 2023;43;0,000464;
март 2023;100;0,001230;
апрель 2023;41;0,000472;
май 2023;23;0,000296;
июнь 2023;24;0,000305;
июль 2023;19;0,000240;
август 2023;12;0,000145;
сентябрь 2023;19;0,000210;
октябрь 2023;21;0,000228;
ноябрь 2023;7;0,000072;
декабрь 2023;10;0,000102;
январь 2024;8;0,000091;
февраль 2024;15;0,000178;
март 2024;10;0,000138;
апрель 2024;3;0,000037;
май 2024;10;0,000139;
июнь 2024;10;0,000136;
июль 2024;11;0,000147;
август 2024;6;0,000081;
сентябрь 2024;9;0,000107;
октябрь 2024;10;0,000117;
ноябрь 2024;40;0,000421;
декабрь 2024;31;0,000338;
