Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;2 155;0,00089;
январь 2018;2 178;0,00090;
февраль 2018;2 791;0,00110;
март 2018;2 166;0,00099;
апрель 2018;2 495;0,00108;
май 2018;2 708;0,00119;
июнь 2018;2 823;0,00110;
июль 2018;2 663;0,00105;
август 2018;2 109;0,00082;
сентябрь 2018;2 137;0,00075;
октябрь 2018;2 197;0,00084;
ноябрь 2018;2 579;0,00098;
декабрь 2018;1 918;0,00070;
январь 2019;1 954;0,00075;
февраль 2019;2 059;0,00076;
март 2019;2 117;0,00081;
апрель 2019;2 346;0,00092;
май 2019;3 054;0,00124;
июнь 2019;3 512;0,00129;
июль 2019;2 975;0,00108;
август 2019;2 715;0,00099;
сентябрь 2019;2 414;0,00085;
октябрь 2019;2 450;0,00086;
ноябрь 2019;4 519;0,00151;
декабрь 2019;2 581;0,00082;
январь 2020;2 577;0,00085;
февраль 2020;3 110;0,00098;
март 2020;2 507;0,00064;
апрель 2020;2 305;0,00064;
май 2020;2 512;0,00081;
июнь 2020;2 712;0,00086;
июль 2020;2 839;0,00087;
август 2020;2 676;0,00079;
сентябрь 2020;2 785;0,00076;
октябрь 2020;2 842;0,00076;
ноябрь 2020;3 100;0,00087;
декабрь 2020;2 019;0,00056;
январь 2021;2 161;0,00064;
февраль 2021;2 407;0,00064;
март 2021;2 184;0,00061;
апрель 2021;1 930;0,00059;
май 2021;2 072;0,00058;
июнь 2021;2 215;0,00056;
июль 2021;2 337;0,00056;
август 2021;1 954;0,00054;
сентябрь 2021;1 992;0,00056;
октябрь 2021;1 883;0,00052;
ноябрь 2021;2 210;0,00060;
декабрь 2021;1 658;0,00044;
январь 2022;2 191;0,00061;
февраль 2022;5 371;0,00133;
март 2022;5 019;0,00133;
апрель 2022;6 205;0,00163;
май 2022;6 696;0,00180;
июнь 2022;6 822;0,00171;
июль 2022;7 227;0,00176;
август 2022;5 386;0,00133;
сентябрь 2022;5 721;0,00139;
октябрь 2022;5 057;0,00123;
ноябрь 2022;5 209;0,00126;
декабрь 2022;3 864;0,00093;
январь 2023;3 673;0,00094;
февраль 2023;4 773;0,00115;
март 2023;3 883;0,00098;
апрель 2023;3 711;0,00095;
май 2023;3 850;0,00102;
июнь 2023;4 511;0,00110;
июль 2023;4 045;0,00098;
август 2023;3 018;0,00077;
сентябрь 2023;3 379;0,00084;
октябрь 2023;2 792;0,00069;
ноябрь 2023;3 342;0,00082;
декабрь 2023;2 784;0,00067;
январь 2024;2 570;0,00068;
февраль 2024;3 413;0,00087;
март 2024;2 824;0,00077;
апрель 2024;2 757;0,00075;
май 2024;3 079;0,00090;
июнь 2024;2 985;0,00078;
июль 2024;2 777;0,00071;
август 2024;2 897;0,00077;
сентябрь 2024;2 925;0,00074;
октябрь 2024;3 342;0,00083;
ноябрь 2024;3 341;0,00080;
декабрь 2024;2 370;0,00056;
