Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Khakassia, all devices
December 2017;155 111;0,81;
January 2018;160 099;0,87;
February 2018;162 406;0,84;
March 2018;150 197;0,85;
April 2018;161 206;0,86;
May 2018;112 363;0,71;
June 2018;109 423;0,64;
July 2018;110 687;0,64;
August 2018;149 494;0,78;
September 2018;186 723;0,86;
October 2018;162 560;0,80;
November 2018;157 257;0,78;
December 2018;162 722;0,80;
January 2019;161 027;0,82;
February 2019;168 783;0,85;
March 2019;170 295;0,86;
April 2019;163 368;0,87;
May 2019;120 335;0,73;
June 2019;111 282;0,66;
July 2019;110 363;0,65;
August 2019;141 705;0,79;
September 2019;181 552;0,88;
October 2019;174 514;0,84;
November 2019;193 823;0,87;
December 2019;206 122;0,89;
January 2020;200 290;0,90;
February 2020;206 813;0,85;
March 2020;241 808;0,80;
April 2020;243 278;0,87;
May 2020;180 003;0,76;
June 2020;145 032;0,68;
July 2020;146 044;0,68;
August 2020;188 117;0,80;
September 2020;237 464;0,86;
October 2020;250 783;0,82;
November 2020;262 837;0,92;
December 2020;231 741;0,86;
January 2021;234 501;0,93;
February 2021;235 115;0,89;
March 2021;246 929;0,91;
April 2021;241 277;0,90;
May 2021;190 005;0,76;
June 2021;150 216;0,63;
July 2021;155 473;0,64;
August 2021;208 047;0,79;
September 2021;247 552;0,85;
October 2021;248 159;0,82;
November 2021;270 900;0,86;
December 2021;255 669;0,81;
January 2022;256 471;0,80;
February 2022;273 760;0,84;
March 2022;261 837;0,85;
April 2022;248 897;0,84;
May 2022;187 491;0,68;
June 2022;159 779;0,59;
July 2022;167 878;0,61;
August 2022;208 126;0,70;
September 2022;252 521;0,78;
October 2022;254 259;0,75;
November 2022;257 606;0,76;
December 2022;234 196;0,69;
January 2023;223 307;0,72;
February 2023;249 484;0,74;
March 2023;235 555;0,72;
April 2023;248 619;0,80;
May 2023;173 181;0,64;
June 2023;147 254;0,55;
July 2023;153 707;0,56;
August 2023;203 318;0,70;
September 2023;250 575;0,79;
October 2023;239 562;0,75;
November 2023;254 251;0,76;
December 2023;233 861;0,70;
January 2024;228 629;0,73;
February 2024;224 750;0,72;
March 2024;228 476;0,77;
April 2024;226 186;0,81;
May 2024;162 134;0,67;
June 2024;146 879;0,59;
July 2024;142 747;0,58;
August 2024;193 175;0,73;
September 2024;243 432;0,81;
October 2024;235 795;0,77;
November 2024;262 908;0,82;
