Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Kamchatka Krai, all devices
December 2017;58 105;0,70;
January 2018;56 303;0,70;
February 2018;60 480;0,67;
March 2018;59 033;0,69;
April 2018;60 625;0,72;
May 2018;44 774;0,60;
June 2018;39 887;0,54;
July 2018;40 952;0,56;
August 2018;56 136;0,66;
September 2018;69 782;0,71;
October 2018;65 960;0,68;
November 2018;64 999;0,70;
December 2018;68 310;0,70;
January 2019;66 747;0,71;
February 2019;66 068;0,67;
March 2019;66 947;0,69;
April 2019;61 187;0,71;
May 2019;46 351;0,61;
June 2019;39 531;0,56;
July 2019;40 109;0,56;
August 2019;56 018;0,68;
September 2019;72 491;0,72;
October 2019;73 248;0,70;
November 2019;78 102;0,71;
December 2019;79 569;0,70;
January 2020;75 307;0,69;
February 2020;78 960;0,65;
March 2020;106 871;0,69;
April 2020;90 887;0,67;
May 2020;66 038;0,60;
June 2020;53 122;0,54;
July 2020;55 578;0,56;
August 2020;72 248;0,67;
September 2020;89 823;0,68;
October 2020;96 735;0,68;
November 2020;93 699;0,71;
December 2020;91 683;0,70;
January 2021;96 468;0,76;
February 2021;99 542;0,73;
March 2021;107 321;0,76;
April 2021;97 039;0,73;
May 2021;74 809;0,61;
June 2021;61 040;0,53;
July 2021;62 752;0,55;
August 2021;86 202;0,67;
September 2021;98 720;0,69;
October 2021;102 947;0,70;
November 2021;109 503;0,72;
December 2021;109 806;0,72;
January 2022;101 148;0,68;
February 2022;111 591;0,68;
March 2022;115 156;0,71;
April 2022;108 989;0,68;
May 2022;78 071;0,58;
June 2022;65 311;0,49;
July 2022;69 558;0,50;
August 2022;91 448;0,59;
September 2022;105 324;0,63;
October 2022;121 649;0,65;
November 2022;102 135;0,60;
December 2022;99 846;0,58;
January 2023;91 956;0,58;
February 2023;102 650;0,59;
March 2023;100 310;0,59;
April 2023;106 217;0,64;
May 2023;68 577;0,50;
June 2023;59 838;0,45;
July 2023;63 107;0,47;
August 2023;82 850;0,58;
September 2023;103 753;0,63;
October 2023;98 467;0,61;
November 2023;105 052;0,63;
December 2023;100 213;0,60;
January 2024;97 713;0,62;
February 2024;98 720;0,60;
March 2024;101 664;0,65;
April 2024;99 811;0,65;
May 2024;67 752;0,53;
June 2024;62 629;0,48;
July 2024;60 419;0,47;
August 2024;82 176;0,60;
September 2024;102 509;0,64;
October 2024;103 471;0,64;
November 2024;114 353;0,67;
