Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Ingushetia, all devices
December 2017;21 312;0,52;
January 2018;21 980;0,55;
February 2018;24 715;0,57;
March 2018;20 895;0,55;
April 2018;22 336;0,59;
May 2018;12 798;0,38;
June 2018;13 729;0,35;
July 2018;14 926;0,38;
August 2018;25 299;0,62;
September 2018;31 544;0,70;
October 2018;30 434;0,66;
November 2018;34 033;0,70;
December 2018;27 853;0,55;
January 2019;28 907;0,60;
February 2019;31 569;0,63;
March 2019;29 405;0,60;
April 2019;25 510;0,57;
May 2019;16 459;0,40;
June 2019;16 068;0,36;
July 2019;17 309;0,40;
August 2019;28 542;0,64;
September 2019;36 066;0,72;
October 2019;31 986;0,61;
November 2019;42 867;0,72;
December 2019;34 856;0,57;
January 2020;33 339;0,59;
February 2020;34 589;0,56;
March 2020;37 974;0,49;
April 2020;37 576;0,53;
May 2020;35 810;0,61;
June 2020;33 556;0,60;
July 2020;27 399;0,50;
August 2020;39 386;0,69;
September 2020;44 829;0,67;
October 2020;40 383;0,56;
November 2020;47 648;0,70;
December 2020;38 062;0,58;
January 2021;39 251;0,66;
February 2021;45 840;0,73;
March 2021;50 682;0,77;
April 2021;33 542;0,51;
May 2021;37 075;0,53;
June 2021;25 360;0,40;
July 2021;27 218;0,43;
August 2021;49 473;0,69;
September 2021;60 405;0,74;
October 2021;56 092;0,66;
November 2021;77 224;0,86;
December 2021;53 143;0,58;
January 2022;59 104;0,66;
February 2022;70 894;0,72;
March 2022;56 606;0,67;
April 2022;57 307;0,66;
May 2022;45 356;0,56;
June 2022;34 190;0,42;
July 2022;36 260;0,45;
August 2022;53 559;0,63;
September 2022;60 761;0,67;
October 2022;54 127;0,56;
November 2022;61 015;0,63;
December 2022;55 696;0,58;
January 2023;51 105;0,58;
February 2023;61 654;0,66;
March 2023;42 495;0,52;
April 2023;62 043;0,71;
May 2023;37 143;0,47;
June 2023;29 582;0,37;
July 2023;34 432;0,43;
August 2023;51 657;0,62;
September 2023;66 384;0,73;
October 2023;57 056;0,62;
November 2023;72 519;0,74;
December 2023;54 137;0,55;
January 2024;60 355;0,69;
February 2024;46 540;0,55;
March 2024;41 746;0,57;
April 2024;58 930;0,73;
May 2024;35 626;0,49;
June 2024;32 865;0,44;
July 2024;33 262;0,44;
August 2024;49 454;0,66;
September 2024;61 887;0,74;
October 2024;51 681;0,60;
November 2024;72 194;0,76;
