Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Ivanovo Oblast, all devices
December 2017;289 669;0,74;
January 2018;274 587;0,72;
February 2018;304 616;0,72;
March 2018;274 477;0,71;
April 2018;275 900;0,75;
May 2018;213 809;0,61;
June 2018;199 827;0,57;
July 2018;210 820;0,58;
August 2018;273 530;0,68;
September 2018;338 004;0,72;
October 2018;300 493;0,72;
November 2018;304 938;0,73;
December 2018;329 945;0,76;
January 2019;301 531;0,73;
February 2019;315 089;0,71;
March 2019;302 257;0,74;
April 2019;294 617;0,77;
May 2019;226 365;0,63;
June 2019;217 204;0,59;
July 2019;207 125;0,58;
August 2019;269 059;0,70;
September 2019;328 109;0,74;
October 2019;318 227;0,71;
November 2019;349 939;0,75;
December 2019;365 618;0,78;
January 2020;326 476;0,72;
February 2020;363 220;0,72;
March 2020;474 486;0,77;
April 2020;440 142;0,79;
May 2020;329 512;0,72;
June 2020;274 935;0,65;
July 2020;256 562;0,61;
August 2020;317 790;0,68;
September 2020;366 399;0,69;
October 2020;370 620;0,66;
November 2020;407 745;0,73;
December 2020;396 770;0,76;
January 2021;407 056;0,79;
February 2021;435 066;0,77;
March 2021;466 465;0,79;
April 2021;454 160;0,78;
May 2021;367 243;0,67;
June 2021;305 000;0,61;
July 2021;312 595;0,60;
August 2021;398 774;0,69;
September 2021;457 087;0,72;
October 2021;501 473;0,74;
November 2021;522 543;0,78;
December 2021;524 108;0,78;
January 2022;477 753;0,74;
February 2022;543 013;0,75;
March 2022;511 985;0,75;
April 2022;516 193;0,77;
May 2022;373 206;0,63;
June 2022;331 259;0,57;
July 2022;327 843;0,56;
August 2022;406 193;0,62;
September 2022;463 074;0,66;
October 2022;459 077;0,65;
November 2022;456 829;0,65;
December 2022;450 293;0,64;
January 2023;410 453;0,64;
February 2023;435 122;0,62;
March 2023;416 559;0,63;
April 2023;440 514;0,68;
May 2023;313 279;0,53;
June 2023;280 425;0,48;
July 2023;282 427;0,50;
August 2023;361 863;0,60;
September 2023;449 422;0,66;
October 2023;431 651;0,64;
November 2023;442 019;0,66;
December 2023;427 866;0,63;
January 2024;403 565;0,63;
February 2024;391 365;0,60;
March 2024;404 932;0,65;
April 2024;405 766;0,67;
May 2024;290 176;0,54;
June 2024;270 430;0,51;
July 2024;258 073;0,49;
August 2024;343 048;0,61;
September 2024;416 812;0,66;
October 2024;429 833;0,65;
November 2024;469 512;0,69;
