Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of North Ossetia — Alania, all devices
December 2017;105 413;0,57;
January 2018;97 661;0,55;
February 2018;107 476;0,56;
March 2018;94 787;0,58;
April 2018;112 847;0,67;
May 2018;88 144;0,55;
June 2018;74 078;0,45;
July 2018;75 688;0,46;
August 2018;107 995;0,62;
September 2018;129 751;0,67;
October 2018;111 605;0,61;
November 2018;124 913;0,66;
December 2018;119 722;0,59;
January 2019;112 965;0,59;
February 2019;124 954;0,62;
March 2019;117 263;0,62;
April 2019;119 905;0,66;
May 2019;97 961;0,59;
June 2019;81 084;0,49;
July 2019;79 652;0,49;
August 2019;104 339;0,62;
September 2019;121 592;0,65;
October 2019;119 688;0,61;
November 2019;145 301;0,69;
December 2019;133 437;0,60;
January 2020;123 404;0,58;
February 2020;126 461;0,57;
March 2020;159 131;0,58;
April 2020;136 772;0,54;
May 2020;122 541;0,58;
June 2020;106 908;0,55;
July 2020;101 108;0,53;
August 2020;126 167;0,63;
September 2020;140 885;0,60;
October 2020;132 439;0,53;
November 2020;164 252;0,67;
December 2020;147 270;0,62;
January 2021;148 447;0,66;
February 2021;164 594;0,69;
March 2021;165 025;0,69;
April 2021;178 973;0,73;
May 2021;150 210;0,63;
June 2021;113 696;0,51;
July 2021;108 133;0,49;
August 2021;153 046;0,63;
September 2021;167 161;0,60;
October 2021;176 796;0,62;
November 2021;213 587;0,74;
December 2021;182 459;0,60;
January 2022;179 747;0,62;
February 2022;215 635;0,68;
March 2022;203 125;0,70;
April 2022;200 453;0,67;
May 2022;154 018;0,57;
June 2022;128 070;0,48;
July 2022;127 043;0,48;
August 2022;164 523;0,59;
September 2022;196 760;0,63;
October 2022;186 535;0,58;
November 2022;190 194;0,58;
December 2022;182 693;0,56;
January 2023;162 283;0,54;
February 2023;187 689;0,59;
March 2023;184 979;0,62;
April 2023;195 998;0,65;
May 2023;138 736;0,52;
June 2023;118 710;0,45;
July 2023;120 820;0,46;
August 2023;162 483;0,59;
September 2023;192 525;0,63;
October 2023;185 115;0,58;
November 2023;214 149;0,66;
December 2023;185 780;0,57;
January 2024;179 609;0,60;
February 2024;175 002;0,57;
March 2024;168 193;0,61;
April 2024;181 394;0,64;
May 2024;134 507;0,54;
June 2024;118 774;0,47;
July 2024;111 028;0,45;
August 2024;147 067;0,58;
September 2024;178 354;0,63;
October 2024;173 793;0,60;
November 2024;206 058;0,66;
