Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Kaliningrad Oblast, all devices
December 2017;239 875;0,72;
January 2018;232 235;0,71;
February 2018;251 412;0,71;
March 2018;218 549;0,69;
April 2018;237 321;0,75;
May 2018;194 197;0,63;
June 2018;186 853;0,59;
July 2018;197 725;0,62;
August 2018;249 562;0,70;
September 2018;286 332;0,72;
October 2018;246 608;0,69;
November 2018;257 388;0,71;
December 2018;271 771;0,72;
January 2019;264 651;0,75;
February 2019;273 037;0,73;
March 2019;262 167;0,75;
April 2019;277 126;0,79;
May 2019;209 105;0,68;
June 2019;202 474;0,62;
July 2019;194 208;0,60;
August 2019;239 448;0,70;
September 2019;280 433;0,74;
October 2019;264 929;0,71;
November 2019;292 670;0,75;
December 2019;309 564;0,77;
January 2020;293 341;0,75;
February 2020;301 262;0,71;
March 2020;384 063;0,73;
April 2020;347 846;0,75;
May 2020;292 388;0,75;
June 2020;256 904;0,66;
July 2020;240 931;0,62;
August 2020;297 073;0,70;
September 2020;337 886;0,71;
October 2020;333 416;0,66;
November 2020;350 284;0,73;
December 2020;342 810;0,75;
January 2021;338 466;0,79;
February 2021;362 703;0,76;
March 2021;386 799;0,77;
April 2021;412 392;0,78;
May 2021;327 376;0,67;
June 2021;272 808;0,58;
July 2021;279 552;0,57;
August 2021;356 964;0,69;
September 2021;389 992;0,69;
October 2021;400 861;0,67;
November 2021;426 928;0,73;
December 2021;407 256;0,68;
January 2022;395 106;0,68;
February 2022;432 708;0,71;
March 2022;431 298;0,71;
April 2022;442 235;0,73;
May 2022;348 360;0,63;
June 2022;318 259;0,56;
July 2022;311 388;0,55;
August 2022;358 727;0,59;
September 2022;392 195;0,62;
October 2022;394 500;0,61;
November 2022;400 614;0,62;
December 2022;371 855;0,58;
January 2023;347 896;0,58;
February 2023;392 405;0,61;
March 2023;356 684;0,59;
April 2023;376 708;0,64;
May 2023;281 947;0,51;
June 2023;260 038;0,46;
July 2023;269 160;0,47;
August 2023;329 690;0,57;
September 2023;370 680;0,60;
October 2023;350 686;0,57;
November 2023;390 567;0,62;
December 2023;365 377;0,58;
January 2024;346 440;0,59;
February 2024;338 738;0,56;
March 2024;349 170;0,60;
April 2024;352 385;0,62;
May 2024;264 259;0,51;
June 2024;252 035;0,46;
July 2024;242 787;0,45;
August 2024;307 685;0,55;
September 2024;353 738;0,59;
October 2024;355 867;0,58;
November 2024;401 881;0,63;
