Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Chuvash Republic, all devices
December 2017;424 634;0,90;
January 2018;393 706;0,85;
February 2018;408 962;0,82;
March 2018;372 309;0,81;
April 2018;362 164;0,83;
May 2018;289 531;0,72;
June 2018;256 175;0,67;
July 2018;255 746;0,66;
August 2018;360 149;0,78;
September 2018;445 040;0,83;
October 2018;401 976;0,82;
November 2018;415 517;0,82;
December 2018;447 175;0,88;
January 2019;417 432;0,87;
February 2019;416 186;0,82;
March 2019;394 363;0,83;
April 2019;380 937;0,87;
May 2019;295 411;0,75;
June 2019;274 972;0,70;
July 2019;262 687;0,66;
August 2019;348 765;0,81;
September 2019;436 253;0,86;
October 2019;424 006;0,83;
November 2019;471 984;0,86;
December 2019;529 529;0,91;
January 2020;496 001;0,89;
February 2020;491 810;0,83;
March 2020;647 548;0,78;
April 2020;565 031;0,84;
May 2020;428 891;0,77;
June 2020;333 733;0,69;
July 2020;322 691;0,66;
August 2020;446 332;0,77;
September 2020;557 646;0,82;
October 2020;558 825;0,79;
November 2020;616 049;0,87;
December 2020;583 972;0,88;
January 2021;577 427;0,90;
February 2021;596 264;0,87;
March 2021;602 140;0,87;
April 2021;574 526;0,87;
May 2021;451 166;0,76;
June 2021;366 840;0,66;
July 2021;372 898;0,64;
August 2021;520 410;0,77;
September 2021;584 643;0,80;
October 2021;613 607;0,81;
November 2021;652 007;0,84;
December 2021;668 068;0,86;
January 2022;641 071;0,79;
February 2022;690 750;0,83;
March 2022;643 616;0,81;
April 2022;659 937;0,84;
May 2022;459 061;0,69;
June 2022;401 456;0,62;
July 2022;386 085;0,61;
August 2022;505 647;0,67;
September 2022;584 624;0,71;
October 2022;580 344;0,70;
November 2022;615 733;0,73;
December 2022;587 710;0,70;
January 2023;533 193;0,70;
February 2023;575 999;0,69;
March 2023;510 571;0,67;
April 2023;564 331;0,74;
May 2023;393 070;0,60;
June 2023;344 384;0,53;
July 2023;347 404;0,55;
August 2023;464 790;0,65;
September 2023;570 943;0,70;
October 2023;555 457;0,70;
November 2023;581 991;0,71;
December 2023;553 205;0,69;
January 2024;526 126;0,70;
February 2024;512 854;0,67;
March 2024;507 888;0,70;
April 2024;536 326;0,75;
May 2024;356 366;0,61;
June 2024;334 471;0,57;
July 2024;311 030;0,53;
August 2024;429 787;0,67;
September 2024;533 054;0,71;
October 2024;548 738;0,70;
November 2024;614 256;0,74;
