Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Ryazan Oblast, all devices
December 2017;387 402;0,76;
January 2018;370 375;0,74;
February 2018;395 234;0,72;
March 2018;346 952;0,71;
April 2018;343 948;0,73;
May 2018;287 313;0,65;
June 2018;275 996;0,62;
July 2018;280 296;0,62;
August 2018;369 238;0,71;
September 2018;450 137;0,75;
October 2018;402 134;0,73;
November 2018;388 637;0,72;
December 2018;422 063;0,76;
January 2019;399 364;0,75;
February 2019;415 260;0,72;
March 2019;387 663;0,73;
April 2019;360 421;0,73;
May 2019;310 008;0,68;
June 2019;302 843;0,65;
July 2019;301 174;0,63;
August 2019;379 076;0,74;
September 2019;447 018;0,77;
October 2019;436 332;0,74;
November 2019;459 880;0,75;
December 2019;503 041;0,81;
January 2020;477 451;0,78;
February 2020;486 218;0,72;
March 2020;683 206;0,77;
April 2020;640 928;0,81;
May 2020;458 484;0,73;
June 2020;389 203;0,67;
July 2020;368 638;0,64;
August 2020;467 360;0,73;
September 2020;544 153;0,74;
October 2020;548 559;0,71;
November 2020;569 785;0,75;
December 2020;587 784;0,79;
January 2021;601 867;0,83;
February 2021;654 589;0,80;
March 2021;681 812;0,81;
April 2021;647 117;0,78;
May 2021;532 178;0,69;
June 2021;436 586;0,63;
July 2021;461 371;0,64;
August 2021;608 524;0,74;
September 2021;643 227;0,76;
October 2021;659 945;0,75;
November 2021;671 841;0,77;
December 2021;679 155;0,77;
January 2022;662 114;0,74;
February 2022;709 193;0,74;
March 2022;670 913;0,74;
April 2022;639 267;0,73;
May 2022;495 050;0,63;
June 2022;438 630;0,57;
July 2022;443 761;0,57;
August 2022;539 522;0,62;
September 2022;593 517;0,65;
October 2022;611 852;0,66;
November 2022;584 162;0,63;
December 2022;582 666;0,63;
January 2023;524 013;0,62;
February 2023;582 800;0,63;
March 2023;519 926;0,62;
April 2023;543 585;0,65;
May 2023;431 016;0,53;
June 2023;383 830;0,48;
July 2023;391 470;0,51;
August 2023;493 652;0,61;
September 2023;591 008;0,65;
October 2023;576 069;0,64;
November 2023;589 480;0,64;
December 2023;573 585;0,62;
January 2024;539 653;0,61;
February 2024;532 266;0,59;
March 2024;512 042;0,62;
April 2024;507 813;0,63;
May 2024;390 783;0,54;
June 2024;368 650;0,50;
July 2024;357 718;0,47;
August 2024;472 436;0,60;
September 2024;568 737;0,65;
October 2024;578 825;0,63;
November 2024;625 982;0,67;
