Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Bryansk Oblast, all devices
December 2017;398 630;0,81;
January 2018;391 057;0,81;
February 2018;403 747;0,78;
March 2018;355 923;0,79;
April 2018;370 725;0,83;
May 2018;286 264;0,66;
June 2018;288 535;0,64;
July 2018;276 931;0,64;
August 2018;383 486;0,78;
September 2018;468 116;0,83;
October 2018;403 187;0,78;
November 2018;389 466;0,74;
December 2018;444 271;0,77;
January 2019;435 887;0,81;
February 2019;435 932;0,78;
March 2019;400 924;0,79;
April 2019;399 517;0,80;
May 2019;310 483;0,69;
June 2019;301 998;0,64;
July 2019;292 375;0,63;
August 2019;385 022;0,79;
September 2019;460 502;0,83;
October 2019;436 344;0,77;
November 2019;466 887;0,79;
December 2019;498 303;0,81;
January 2020;477 495;0,82;
February 2020;474 408;0,76;
March 2020;636 473;0,78;
April 2020;671 983;0,86;
May 2020;443 357;0,74;
June 2020;378 906;0,67;
July 2020;339 152;0,62;
August 2020;442 714;0,75;
September 2020;503 692;0,75;
October 2020;561 773;0,73;
November 2020;524 906;0,76;
December 2020;541 426;0,78;
January 2021;547 105;0,83;
February 2021;609 141;0,83;
March 2021;617 162;0,83;
April 2021;615 904;0,82;
May 2021;486 378;0,70;
June 2021;423 041;0,63;
July 2021;437 620;0,64;
August 2021;578 929;0,78;
September 2021;626 391;0,79;
October 2021;635 121;0,76;
November 2021;680 720;0,81;
December 2021;670 709;0,79;
January 2022;628 463;0,76;
February 2022;685 725;0,77;
March 2022;653 057;0,75;
April 2022;668 342;0,81;
May 2022;480 211;0,65;
June 2022;437 001;0,59;
July 2022;432 406;0,58;
August 2022;556 315;0,68;
September 2022;614 484;0,70;
October 2022;599 357;0,68;
November 2022;613 490;0,69;
December 2022;588 823;0,66;
January 2023;535 504;0,66;
February 2023;589 442;0,67;
March 2023;517 603;0,65;
April 2023;566 175;0,71;
May 2023;400 638;0,55;
June 2023;355 735;0,49;
July 2023;366 199;0,51;
August 2023;492 188;0,66;
September 2023;589 064;0,70;
October 2023;552 111;0,66;
November 2023;568 300;0,68;
December 2023;550 198;0,64;
January 2024;532 350;0,66;
February 2024;510 635;0,63;
March 2024;519 632;0,68;
April 2024;510 360;0,69;
May 2024;367 037;0,55;
June 2024;337 535;0,51;
July 2024;315 981;0,48;
August 2024;449 106;0,65;
September 2024;538 902;0,69;
October 2024;527 441;0,66;
November 2024;584 723;0,70;
