Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Kostroma Oblast, all devices
December 2017;199 685;0,76;
January 2018;191 758;0,75;
February 2018;209 016;0,75;
March 2018;194 749;0,76;
April 2018;191 253;0,78;
May 2018;151 697;0,65;
June 2018;138 192;0,58;
July 2018;141 803;0,59;
August 2018;192 207;0,71;
September 2018;243 013;0,78;
October 2018;216 969;0,76;
November 2018;211 265;0,76;
December 2018;222 451;0,77;
January 2019;213 334;0,79;
February 2019;221 159;0,76;
March 2019;217 767;0,80;
April 2019;203 850;0,80;
May 2019;158 698;0,67;
June 2019;149 450;0,61;
July 2019;142 231;0,59;
August 2019;183 445;0,72;
September 2019;227 763;0,78;
October 2019;225 801;0,77;
November 2019;248 689;0,81;
December 2019;250 406;0,79;
January 2020;237 634;0,79;
February 2020;245 791;0,75;
March 2020;369 549;0,81;
April 2020;329 884;0,82;
May 2020;231 778;0,76;
June 2020;187 822;0,65;
July 2020;169 666;0,60;
August 2020;222 986;0,71;
September 2020;271 728;0,75;
October 2020;279 681;0,75;
November 2020;294 583;0,81;
December 2020;280 022;0,79;
January 2021;289 659;0,85;
February 2021;309 995;0,83;
March 2021;326 018;0,86;
April 2021;311 052;0,82;
May 2021;247 277;0,70;
June 2021;207 599;0,62;
July 2021;216 485;0,62;
August 2021;274 756;0,73;
September 2021;325 328;0,78;
October 2021;331 894;0,77;
November 2021;352 628;0,80;
December 2021;340 049;0,77;
January 2022;330 815;0,77;
February 2022;362 178;0,77;
March 2022;348 641;0,79;
April 2022;349 711;0,78;
May 2022;252 786;0,64;
June 2022;224 394;0,58;
July 2022;225 517;0,58;
August 2022;274 720;0,63;
September 2022;320 206;0,69;
October 2022;315 050;0,68;
November 2022;322 376;0,70;
December 2022;301 129;0,65;
January 2023;282 345;0,66;
February 2023;313 468;0,67;
March 2023;291 186;0,68;
April 2023;299 186;0,70;
May 2023;217 856;0,56;
June 2023;194 415;0,50;
July 2023;191 956;0,51;
August 2023;247 584;0,62;
September 2023;307 558;0,69;
October 2023;294 564;0,67;
November 2023;307 060;0,70;
December 2023;289 614;0,64;
January 2024;280 137;0,67;
February 2024;281 842;0,66;
March 2024;280 845;0,69;
April 2024;275 577;0,70;
May 2024;202 825;0,58;
June 2024;186 712;0,53;
July 2024;175 505;0,50;
August 2024;233 749;0,64;
September 2024;293 734;0,70;
October 2024;297 840;0,70;
November 2024;318 604;0,73;
