Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Rostov Oblast, all devices
December 2017;1 294 636;0,72;
January 2018;1 325 177;0,70;
February 2018;1 445 304;0,71;
March 2018;1 162 720;0,69;
April 2018;1 278 350;0,73;
May 2018;997 922;0,61;
June 2018;975 723;0,57;
July 2018;1 018 568;0,59;
August 2018;1 313 381;0,68;
September 2018;1 587 273;0,70;
October 2018;1 372 319;0,68;
November 2018;1 495 490;0,70;
December 2018;1 616 009;0,72;
January 2019;1 536 530;0,73;
February 2019;1 583 833;0,72;
March 2019;1 460 454;0,71;
April 2019;1 508 740;0,75;
May 2019;1 208 084;0,65;
June 2019;1 133 619;0,59;
July 2019;1 103 676;0,58;
August 2019;1 370 427;0,70;
September 2019;1 502 287;0,73;
October 2019;1 467 214;0,70;
November 2019;1 638 763;0,75;
December 2019;1 710 502;0,75;
January 2020;1 589 682;0,72;
February 2020;1 598 371;0,70;
March 2020;2 105 313;0,74;
April 2020;2 158 882;0,78;
May 2020;1 549 602;0,71;
June 2020;1 308 927;0,64;
July 2020;1 279 308;0,60;
August 2020;1 551 844;0,70;
September 2020;1 743 880;0,70;
October 2020;1 752 781;0,68;
November 2020;1 894 805;0,74;
December 2020;1 872 435;0,74;
January 2021;1 861 903;0,78;
February 2021;1 977 438;0,75;
March 2021;1 935 602;0,75;
April 2021;1 911 496;0,76;
May 2021;1 638 301;0,65;
June 2021;1 391 177;0,57;
July 2021;1 353 136;0,55;
August 2021;1 710 850;0,67;
September 2021;1 864 517;0,69;
October 2021;1 885 198;0,68;
November 2021;2 122 530;0,74;
December 2021;2 035 784;0,70;
January 2022;1 939 005;0,69;
February 2022;2 180 139;0,70;
March 2022;2 037 007;0,71;
April 2022;2 093 860;0,73;
May 2022;1 622 029;0,61;
June 2022;1 434 842;0,54;
July 2022;1 455 003;0,54;
August 2022;1 729 386;0,60;
September 2022;1 898 167;0,62;
October 2022;1 891 296;0,60;
November 2022;1 933 504;0,61;
December 2022;1 794 505;0,57;
January 2023;1 680 933;0,58;
February 2023;1 866 293;0,60;
March 2023;1 719 953;0,57;
April 2023;1 849 023;0,62;
May 2023;1 358 155;0,50;
June 2023;1 213 293;0,45;
July 2023;1 245 171;0,46;
August 2023;1 652 632;0,58;
September 2023;1 848 662;0,61;
October 2023;1 765 104;0,58;
November 2023;1 881 995;0,61;
December 2023;1 754 616;0,56;
January 2024;1 686 013;0,57;
February 2024;1 675 375;0,56;
March 2024;1 643 817;0,60;
April 2024;1 750 339;0,63;
May 2024;1 298 181;0,52;
June 2024;1 199 325;0,48;
July 2024;1 151 845;0,45;
August 2024;1 526 208;0,58;
September 2024;1 803 946;0,62;
October 2024;1 804 947;0,59;
November 2024;2 050 655;0,65;
