Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Krasnodar Krai, all devices
December 2017;1 859 324;0,77;
January 2018;1 809 309;0,74;
February 2018;1 882 171;0,74;
March 2018;1 599 334;0,73;
April 2018;1 748 229;0,76;
May 2018;1 397 273;0,61;
June 2018;1 452 997;0,57;
July 2018;1 505 378;0,59;
August 2018;2 187 888;0,85;
September 2018;2 123 767;0,75;
October 2018;1 979 587;0,76;
November 2018;1 953 848;0,74;
December 2018;2 094 459;0,77;
January 2019;1 978 322;0,76;
February 2019;2 041 286;0,75;
March 2019;1 997 244;0,77;
April 2019;1 957 194;0,77;
May 2019;1 631 985;0,66;
June 2019;1 627 818;0,60;
July 2019;1 605 535;0,58;
August 2019;1 939 481;0,71;
September 2019;2 197 180;0,77;
October 2019;2 132 180;0,75;
November 2019;2 353 485;0,79;
December 2019;2 464 069;0,79;
January 2020;2 326 363;0,77;
February 2020;2 315 184;0,73;
March 2020;2 874 207;0,74;
April 2020;2 696 707;0,76;
May 2020;2 266 262;0,73;
June 2020;2 017 902;0,64;
July 2020;1 936 417;0,59;
August 2020;2 355 219;0,70;
September 2020;2 653 396;0,73;
October 2020;2 604 114;0,70;
November 2020;2 635 325;0,74;
December 2020;2 709 823;0,76;
January 2021;2 681 443;0,79;
February 2021;2 880 719;0,77;
March 2021;2 759 506;0,77;
April 2021;2 379 783;0,73;
May 2021;2 248 075;0,63;
June 2021;2 210 135;0,55;
July 2021;2 208 402;0,53;
August 2021;2 408 307;0,66;
September 2021;2 565 968;0,72;
October 2021;2 628 742;0,73;
November 2021;2 754 759;0,74;
December 2021;2 696 766;0,71;
January 2022;2 574 524;0,71;
February 2022;2 880 382;0,71;
March 2022;2 727 107;0,72;
April 2022;2 579 599;0,68;
May 2022;2 197 273;0,59;
June 2022;2 112 631;0,52;
July 2022;2 135 709;0,52;
August 2022;2 390 741;0,59;
September 2022;2 653 027;0,64;
October 2022;2 628 136;0,64;
November 2022;2 581 793;0,62;
December 2022;2 463 067;0,59;
January 2023;2 307 406;0,59;
February 2023;2 575 714;0,62;
March 2023;2 305 929;0,58;
April 2023;2 340 809;0,60;
May 2023;1 878 976;0,50;
June 2023;1 843 195;0,45;
July 2023;1 907 043;0,46;
August 2023;2 211 726;0,56;
September 2023;2 510 807;0,62;
October 2023;2 436 207;0,60;
November 2023;2 516 943;0,62;
December 2023;2 409 282;0,58;
January 2024;2 277 889;0,60;
February 2024;2 249 085;0,57;
March 2024;2 224 809;0,61;
April 2024;2 188 892;0,60;
May 2024;1 747 898;0,51;
June 2024;1 793 080;0,47;
July 2024;1 743 879;0,45;
August 2024;2 139 312;0,57;
September 2024;2 445 329;0,62;
October 2024;2 518 756;0,62;
November 2024;2 703 218;0,65;
