Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Sakha (Yakutia) Republic, all devices
December 2017;121 407;0,71;
January 2018;125 524;0,74;
February 2018;136 571;0,76;
March 2018;125 418;0,74;
April 2018;137 422;0,81;
May 2018;96 849;0,67;
June 2018;77 107;0,53;
July 2018;76 451;0,52;
August 2018;115 975;0,69;
September 2018;169 046;0,83;
October 2018;165 070;0,81;
November 2018;157 029;0,77;
December 2018;147 899;0,70;
January 2019;162 417;0,76;
February 2019;172 632;0,79;
March 2019;160 064;0,76;
April 2019;160 030;0,81;
May 2019;109 902;0,67;
June 2019;90 125;0,57;
July 2019;88 191;0,55;
August 2019;131 195;0,71;
September 2019;188 061;0,83;
October 2019;183 735;0,79;
November 2019;194 593;0,78;
December 2019;192 363;0,72;
January 2020;192 521;0,73;
February 2020;195 425;0,71;
March 2020;267 832;0,72;
April 2020;291 954;0,83;
May 2020;170 242;0,68;
June 2020;121 246;0,54;
July 2020;115 128;0,53;
August 2020;189 780;0,68;
September 2020;274 167;0,75;
October 2020;288 122;0,75;
November 2020;286 503;0,82;
December 2020;239 418;0,72;
January 2021;256 230;0,84;
February 2021;273 387;0,85;
March 2021;267 468;0,82;
April 2021;288 603;0,87;
May 2021;196 881;0,71;
June 2021;138 681;0,54;
July 2021;136 519;0,53;
August 2021;213 163;0,71;
September 2021;304 802;0,80;
October 2021;294 046;0,80;
November 2021;325 207;0,82;
December 2021;268 559;0,70;
January 2022;313 204;0,78;
February 2022;316 031;0,79;
March 2022;281 959;0,74;
April 2022;305 521;0,80;
May 2022;197 734;0,63;
June 2022;153 018;0,51;
July 2022;167 148;0,52;
August 2022;216 041;0,61;
September 2022;289 162;0,73;
October 2022;306 662;0,71;
November 2022;301 339;0,67;
December 2022;255 106;0,56;
January 2023;261 472;0,64;
February 2023;302 443;0,69;
March 2023;265 555;0,63;
April 2023;313 369;0,73;
May 2023;203 285;0,55;
June 2023;160 497;0,46;
July 2023;167 403;0,47;
August 2023;229 679;0,60;
September 2023;314 825;0,72;
October 2023;301 512;0,68;
November 2023;307 721;0,66;
December 2023;266 429;0,60;
January 2024;274 992;0,67;
February 2024;285 117;0,67;
March 2024;281 961;0,69;
April 2024;288 451;0,75;
May 2024;187 160;0,56;
June 2024;160 900;0,49;
July 2024;155 768;0,48;
August 2024;226 562;0,64;
September 2024;317 664;0,75;
October 2024;313 099;0,72;
November 2024;345 933;0,75;
