Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Irkutsk Oblast, all devices
December 2017;726 685;0,75;
January 2018;746 071;0,79;
February 2018;775 919;0,78;
March 2018;712 103;0,78;
April 2018;738 557;0,80;
May 2018;523 403;0,65;
June 2018;472 283;0,58;
July 2018;486 628;0,59;
August 2018;680 854;0,71;
September 2018;885 545;0,80;
October 2018;782 726;0,76;
November 2018;746 268;0,72;
December 2018;798 333;0,76;
January 2019;796 774;0,76;
February 2019;847 328;0,79;
March 2019;840 780;0,81;
April 2019;778 766;0,80;
May 2019;587 773;0,68;
June 2019;511 135;0,61;
July 2019;513 271;0,60;
August 2019;712 863;0,74;
September 2019;891 547;0,81;
October 2019;870 494;0,78;
November 2019;928 998;0,79;
December 2019;961 824;0,81;
January 2020;939 819;0,81;
February 2020;972 180;0,78;
March 2020;1 255 778;0,79;
April 2020;1 119 171;0,80;
May 2020;801 206;0,70;
June 2020;640 553;0,62;
July 2020;648 295;0,61;
August 2020;911 658;0,74;
September 2020;1 093 451;0,78;
October 2020;1 189 004;0,75;
November 2020;1 195 746;0,82;
December 2020;1 121 300;0,80;
January 2021;1 139 570;0,86;
February 2021;1 200 389;0,84;
March 2021;1 210 964;0,84;
April 2021;1 111 857;0,81;
May 2021;859 812;0,68;
June 2021;710 670;0,58;
July 2021;735 272;0,58;
August 2021;994 822;0,74;
September 2021;1 167 727;0,79;
October 2021;1 169 861;0,77;
November 2021;1 264 017;0,78;
December 2021;1 197 775;0,77;
January 2022;1 202 781;0,77;
February 2022;1 314 475;0,79;
March 2022;1 270 581;0,79;
April 2022;1 172 503;0,78;
May 2022;868 829;0,64;
June 2022;730 429;0,55;
July 2022;759 252;0,56;
August 2022;1 008 173;0,66;
September 2022;1 191 340;0,72;
October 2022;1 228 951;0,71;
November 2022;1 176 746;0,68;
December 2022;1 077 464;0,63;
January 2023;1 051 372;0,68;
February 2023;1 194 422;0,70;
March 2023;1 116 145;0,68;
April 2023;1 145 449;0,74;
May 2023;768 059;0,57;
June 2023;651 642;0,50;
July 2023;688 817;0,52;
August 2023;944 324;0,66;
September 2023;1 151 828;0,72;
October 2023;1 106 339;0,70;
November 2023;1 123 673;0,67;
December 2023;1 063 540;0,66;
January 2024;1 057 552;0,68;
February 2024;1 062 423;0,68;
March 2024;1 077 662;0,71;
April 2024;1 022 208;0,73;
May 2024;706 062;0,58;
June 2024;621 314;0,52;
July 2024;610 956;0,51;
August 2024;902 181;0,67;
September 2024;1 124 685;0,74;
October 2024;1 130 095;0,72;
November 2024;1 249 515;0,74;
