Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Karachay-Cherkess Republic, all devices
December 2017;57 029;0,69;
January 2018;55 544;0,70;
February 2018;59 677;0,69;
March 2018;54 089;0,73;
April 2018;62 098;0,80;
May 2018;46 640;0,65;
June 2018;39 604;0,53;
July 2018;37 499;0,51;
August 2018;55 400;0,72;
September 2018;66 852;0,77;
October 2018;62 164;0,76;
November 2018;45 943;0,81;
December 2018;45 979;0,76;
January 2019;44 935;0,74;
February 2019;50 306;0,77;
March 2019;50 647;0,82;
April 2019;47 407;0,81;
May 2019;39 195;0,71;
June 2019;33 763;0,59;
July 2019;31 255;0,57;
August 2019;41 869;0,74;
September 2019;59 136;0,82;
October 2019;56 700;0,77;
November 2019;63 769;0,85;
December 2019;62 979;0,80;
January 2020;55 664;0,75;
February 2020;57 045;0,70;
March 2020;69 591;0,70;
April 2020;62 742;0,69;
May 2020;56 152;0,70;
June 2020;46 762;0,65;
July 2020;42 425;0,61;
August 2020;54 272;0,73;
September 2020;68 031;0,77;
October 2020;64 686;0,66;
November 2020;84 163;0,87;
December 2020;62 366;0,73;
January 2021;64 333;0,80;
February 2021;71 262;0,82;
March 2021;81 837;0,83;
April 2021;91 844;0,83;
May 2021;72 070;0,69;
June 2021;47 866;0,58;
July 2021;47 459;0,57;
August 2021;78 440;0,76;
September 2021;88 999;0,76;
October 2021;88 743;0,72;
November 2021;108 258;0,84;
December 2021;100 326;0,73;
January 2022;103 678;0,76;
February 2022;110 316;0,77;
March 2022;107 435;0,82;
April 2022;110 332;0,83;
May 2022;78 480;0,65;
June 2022;60 973;0,52;
July 2022;61 980;0,53;
August 2022;81 129;0,65;
September 2022;100 516;0,73;
October 2022;92 975;0,67;
November 2022;104 504;0,68;
December 2022;91 860;0,61;
January 2023;85 988;0,61;
February 2023;102 631;0,69;
March 2023;92 207;0,66;
April 2023;102 436;0,76;
May 2023;68 522;0,58;
June 2023;61 656;0,52;
July 2023;59 948;0,50;
August 2023;79 565;0,64;
September 2023;104 414;0,74;
October 2023;94 408;0,66;
November 2023;107 265;0,74;
December 2023;91 164;0,61;
January 2024;88 950;0,64;
February 2024;94 666;0,68;
March 2024;86 472;0,68;
April 2024;93 113;0,72;
May 2024;63 973;0,57;
June 2024;57 818;0,50;
July 2024;54 279;0,48;
August 2024;79 167;0,67;
September 2024;102 191;0,77;
October 2024;97 106;0,70;
November 2024;116 156;0,78;
