Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Zabaykalsky Krai, all devices
December 2017;242 493;0,76;
January 2018;241 422;0,77;
February 2018;257 291;0,78;
March 2018;230 216;0,76;
April 2018;243 389;0,81;
May 2018;167 635;0,63;
June 2018;141 264;0,52;
July 2018;152 507;0,56;
August 2018;228 729;0,72;
September 2018;308 089;0,83;
October 2018;278 418;0,79;
November 2018;259 835;0,76;
December 2018;272 557;0,77;
January 2019;275 480;0,79;
February 2019;301 339;0,83;
March 2019;288 620;0,82;
April 2019;278 493;0,85;
May 2019;196 207;0,69;
June 2019;164 751;0,58;
July 2019;167 193;0,58;
August 2019;254 526;0,76;
September 2019;344 102;0,85;
October 2019;331 673;0,81;
November 2019;352 573;0,82;
December 2019;355 418;0,83;
January 2020;363 151;0,83;
February 2020;388 684;0,81;
March 2020;501 052;0,84;
April 2020;513 093;0,97;
May 2020;293 431;0,75;
June 2020;229 140;0,62;
July 2020;221 978;0,60;
August 2020;345 688;0,79;
September 2020;457 288;0,84;
October 2020;497 487;0,80;
November 2020;497 905;0,87;
December 2020;429 720;0,85;
January 2021;459 531;0,93;
February 2021;438 058;0,90;
March 2021;452 092;0,89;
April 2021;429 458;0,89;
May 2021;315 077;0,73;
June 2021;239 068;0,60;
July 2021;242 525;0,60;
August 2021;379 089;0,80;
September 2021;453 853;0,86;
October 2021;494 902;0,83;
November 2021;497 606;0,88;
December 2021;464 876;0,84;
January 2022;481 086;0,87;
February 2022;510 902;0,87;
March 2022;487 555;0,86;
April 2022;472 083;0,88;
May 2022;322 716;0,69;
June 2022;257 822;0,58;
July 2022;265 853;0,59;
August 2022;377 527;0,71;
September 2022;468 827;0,80;
October 2022;494 227;0,79;
November 2022;454 022;0,73;
December 2022;431 160;0,69;
January 2023;416 636;0,73;
February 2023;470 287;0,76;
March 2023;430 858;0,71;
April 2023;441 957;0,78;
May 2023;285 609;0,59;
June 2023;232 999;0,51;
July 2023;240 336;0,52;
August 2023;347 843;0,67;
September 2023;452 865;0,77;
October 2023;425 879;0,74;
November 2023;432 806;0,72;
December 2023;408 182;0,69;
January 2024;414 701;0,73;
February 2024;398 687;0,72;
March 2024;399 291;0,76;
April 2024;388 804;0,80;
May 2024;252 849;0,62;
June 2024;218 016;0,55;
July 2024;212 152;0,53;
August 2024;315 963;0,70;
September 2024;419 370;0,79;
October 2024;410 518;0,74;
November 2024;443 856;0,75;
