Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Pskov Oblast, all devices
December 2017;163 760;0,73;
January 2018;155 360;0,71;
February 2018;170 198;0,69;
March 2018;154 848;0,70;
April 2018;158 931;0,74;
May 2018;127 573;0,60;
June 2018;113 481;0,54;
July 2018;120 975;0,57;
August 2018;162 049;0,68;
September 2018;203 107;0,74;
October 2018;176 122;0,71;
November 2018;169 752;0,68;
December 2018;184 801;0,71;
January 2019;178 808;0,73;
February 2019;180 259;0,70;
March 2019;173 190;0,73;
April 2019;179 318;0,76;
May 2019;129 894;0,63;
June 2019;121 461;0,56;
July 2019;122 091;0,57;
August 2019;158 332;0,70;
September 2019;189 016;0,74;
October 2019;187 388;0,72;
November 2019;194 396;0,72;
December 2019;212 331;0,76;
January 2020;193 211;0,73;
February 2020;205 634;0,69;
March 2020;273 105;0,74;
April 2020;268 392;0,80;
May 2020;183 228;0,68;
June 2020;156 812;0,60;
July 2020;149 292;0,59;
August 2020;190 378;0,70;
September 2020;222 136;0,72;
October 2020;234 326;0,72;
November 2020;221 300;0,70;
December 2020;240 870;0,78;
January 2021;235 530;0,81;
February 2021;240 676;0,76;
March 2021;271 150;0,81;
April 2021;288 160;0,80;
May 2021;224 465;0,69;
June 2021;168 213;0,60;
July 2021;172 865;0,58;
August 2021;248 078;0,72;
September 2021;282 984;0,73;
October 2021;298 830;0,76;
November 2021;300 679;0,75;
December 2021;318 785;0,78;
January 2022;291 100;0,73;
February 2022;307 596;0,73;
March 2022;313 105;0,77;
April 2022;307 493;0,78;
May 2022;227 477;0,63;
June 2022;202 425;0,56;
July 2022;205 802;0,56;
August 2022;247 716;0,63;
September 2022;282 433;0,67;
October 2022;286 740;0,67;
November 2022;271 860;0,65;
December 2022;286 339;0,67;
January 2023;252 609;0,65;
February 2023;276 788;0,65;
March 2023;259 452;0,66;
April 2023;271 904;0,71;
May 2023;203 410;0,57;
June 2023;178 963;0,50;
July 2023;180 726;0,50;
August 2023;223 129;0,62;
September 2023;266 965;0,66;
October 2023;265 868;0,66;
November 2023;262 797;0,66;
December 2023;268 324;0,65;
January 2024;250 552;0,65;
February 2024;239 912;0,62;
March 2024;252 363;0,67;
April 2024;248 599;0,69;
May 2024;184 756;0,57;
June 2024;178 403;0,53;
July 2024;170 027;0,52;
August 2024;217 534;0,65;
September 2024;255 403;0,67;
October 2024;270 156;0,68;
November 2024;276 059;0,69;
