Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Primorsky Krai, all devices
December 2017;412 050;0,75;
January 2018;392 951;0,72;
February 2018;409 458;0,71;
March 2018;383 823;0,72;
April 2018;392 209;0,73;
May 2018;321 696;0,63;
June 2018;311 469;0,56;
July 2018;301 493;0,56;
August 2018;367 861;0,64;
September 2018;447 957;0,69;
October 2018;421 982;0,69;
November 2018;469 937;0,68;
December 2018;596 136;0,74;
January 2019;571 681;0,76;
February 2019;604 684;0,75;
March 2019;599 734;0,77;
April 2019;618 257;0,76;
May 2019;501 961;0,66;
June 2019;448 602;0,61;
July 2019;452 380;0,60;
August 2019;494 762;0,71;
September 2019;540 842;0,75;
October 2019;537 883;0,74;
November 2019;567 370;0,75;
December 2019;609 562;0,79;
January 2020;590 487;0,79;
February 2020;628 434;0,77;
March 2020;767 798;0,77;
April 2020;674 920;0,76;
May 2020;562 543;0,73;
June 2020;457 769;0,64;
July 2020;438 234;0,59;
August 2020;564 415;0,69;
September 2020;644 761;0,72;
October 2020;592 135;0,69;
November 2020;652 492;0,74;
December 2020;652 714;0,79;
January 2021;662 832;0,85;
February 2021;678 631;0,79;
March 2021;686 873;0,81;
April 2021;656 215;0,78;
May 2021;572 738;0,70;
June 2021;472 670;0,59;
July 2021;476 287;0,58;
August 2021;584 218;0,70;
September 2021;656 367;0,74;
October 2021;689 306;0,76;
November 2021;712 637;0,76;
December 2021;726 200;0,77;
January 2022;700 524;0,76;
February 2022;777 305;0,77;
March 2022;736 175;0,76;
April 2022;721 797;0,75;
May 2022;605 899;0,66;
June 2022;517 478;0,58;
July 2022;497 824;0,56;
August 2022;623 381;0,64;
September 2022;708 380;0,68;
October 2022;781 267;0,70;
November 2022;694 556;0,65;
December 2022;674 597;0,64;
January 2023;636 549;0,66;
February 2023;728 960;0,68;
March 2023;671 084;0,66;
April 2023;663 701;0,68;
May 2023;509 792;0,58;
June 2023;453 360;0,52;
July 2023;484 903;0,54;
August 2023;569 578;0,63;
September 2023;670 413;0,67;
October 2023;660 378;0,66;
November 2023;661 192;0,66;
December 2023;669 776;0,66;
January 2024;680 441;0,71;
February 2024;632 582;0,65;
March 2024;629 711;0,68;
April 2024;605 609;0,67;
May 2024;484 005;0,59;
June 2024;435 607;0,54;
July 2024;435 384;0,54;
August 2024;526 364;0,63;
September 2024;642 580;0,67;
October 2024;659 039;0,67;
November 2024;697 604;0,68;
