Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Stavropol Krai, all devices
December 2017;769 436;0,86;
January 2018;729 678;0,84;
February 2018;776 002;0,82;
March 2018;651 220;0,80;
April 2018;729 162;0,86;
May 2018;547 809;0,70;
June 2018;536 287;0,65;
July 2018;561 375;0,68;
August 2018;773 131;0,86;
September 2018;904 239;0,90;
October 2018;825 313;0,87;
November 2018;825 432;0,83;
December 2018;875 471;0,84;
January 2019;826 279;0,85;
February 2019;869 069;0,84;
March 2019;823 581;0,84;
April 2019;820 053;0,89;
May 2019;640 634;0,74;
June 2019;616 581;0,69;
July 2019;596 765;0,69;
August 2019;794 212;0,86;
September 2019;878 180;0,88;
October 2019;868 172;0,83;
November 2019;976 808;0,89;
December 2019;994 515;0,86;
January 2020;936 094;0,85;
February 2020;955 121;0,79;
March 2020;1 127 052;0,74;
April 2020;1 268 524;0,89;
May 2020;908 662;0,80;
June 2020;768 960;0,72;
July 2020;722 479;0,68;
August 2020;962 083;0,83;
September 2020;1 095 232;0,84;
October 2020;1 052 648;0,76;
November 2020;1 202 420;0,86;
December 2020;1 114 040;0,86;
January 2021;1 074 023;0,89;
February 2021;1 175 659;0,89;
March 2021;1 178 934;0,91;
April 2021;1 096 735;0,89;
May 2021;919 106;0,75;
June 2021;785 354;0,65;
July 2021;780 801;0,63;
August 2021;1 062 123;0,83;
September 2021;1 084 651;0,80;
October 2021;1 133 507;0,80;
November 2021;1 245 834;0,87;
December 2021;1 148 152;0,79;
January 2022;1 071 300;0,77;
February 2022;1 240 244;0,80;
March 2022;1 171 164;0,82;
April 2022;1 191 758;0,81;
May 2022;885 107;0,65;
June 2022;780 796;0,58;
July 2022;794 909;0,58;
August 2022;1 013 836;0,69;
September 2022;1 100 630;0,70;
October 2022;1 072 090;0,67;
November 2022;1 136 168;0,71;
December 2022;1 036 579;0,65;
January 2023;906 622;0,62;
February 2023;1 061 822;0,67;
March 2023;957 020;0,64;
April 2023;1 037 471;0,69;
May 2023;740 045;0,54;
June 2023;670 644;0,50;
July 2023;690 455;0,52;
August 2023;931 948;0,68;
September 2023;1 033 649;0,70;
October 2023;981 210;0,66;
November 2023;1 061 538;0,70;
December 2023;954 464;0,62;
January 2024;928 555;0,65;
February 2024;928 529;0,64;
March 2024;913 296;0,68;
April 2024;922 840;0,68;
May 2024;685 195;0,57;
June 2024;646 653;0,53;
July 2024;626 672;0,51;
August 2024;867 690;0,67;
September 2024;978 867;0,69;
October 2024;978 961;0,67;
November 2024;1 113 909;0,73;
