Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Novgorod Oblast, all devices
December 2017;225 359;0,97;
January 2018;213 475;0,91;
February 2018;227 892;0,89;
March 2018;199 923;0,86;
April 2018;183 802;0,83;
May 2018;166 711;0,78;
June 2018;157 413;0,73;
July 2018;163 795;0,74;
August 2018;198 228;0,81;
September 2018;244 290;0,87;
October 2018;216 210;0,85;
November 2018;205 672;0,82;
December 2018;232 633;0,89;
January 2019;223 219;0,87;
February 2019;229 390;0,85;
March 2019;210 519;0,86;
April 2019;202 465;0,85;
May 2019;165 932;0,77;
June 2019;168 459;0,74;
July 2019;166 835;0,76;
August 2019;195 255;0,83;
September 2019;237 950;0,88;
October 2019;232 848;0,86;
November 2019;239 742;0,85;
December 2019;273 585;0,94;
January 2020;254 990;0,89;
February 2020;258 037;0,83;
March 2020;306 286;0,80;
April 2020;269 670;0,81;
May 2020;226 333;0,83;
June 2020;203 655;0,75;
July 2020;194 357;0,74;
August 2020;240 177;0,81;
September 2020;273 971;0,79;
October 2020;271 429;0,78;
November 2020;262 997;0,80;
December 2020;278 327;0,89;
January 2021;270 036;0,91;
February 2021;280 243;0,87;
March 2021;317 056;0,91;
April 2021;310 155;0,85;
May 2021;263 534;0,80;
June 2021;209 028;0,72;
July 2021;208 121;0,69;
August 2021;276 078;0,78;
September 2021;318 031;0,82;
October 2021;333 338;0,83;
November 2021;330 675;0,82;
December 2021;349 241;0,86;
January 2022;318 203;0,80;
February 2022;348 158;0,81;
March 2022;342 743;0,83;
April 2022;327 734;0,82;
May 2022;275 110;0,76;
June 2022;251 679;0,68;
July 2022;246 123;0,67;
August 2022;284 481;0,70;
September 2022;304 387;0,71;
October 2022;322 114;0,74;
November 2022;299 095;0,70;
December 2022;307 725;0,73;
January 2023;276 464;0,70;
February 2023;305 337;0,71;
March 2023;277 303;0,69;
April 2023;280 632;0,71;
May 2023;231 077;0,64;
June 2023;212 589;0,58;
July 2023;214 739;0,59;
August 2023;244 853;0,65;
September 2023;297 788;0,71;
October 2023;291 598;0,70;
November 2023;285 306;0,69;
December 2023;288 398;0,68;
January 2024;272 475;0,69;
February 2024;267 393;0,67;
March 2024;279 043;0,72;
April 2024;262 945;0,71;
May 2024;213 239;0,65;
June 2024;206 088;0,60;
July 2024;193 153;0,58;
August 2024;235 508;0,67;
September 2024;281 971;0,72;
October 2024;286 367;0,69;
November 2024;300 723;0,72;
