Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Astrakhan Oblast, all devices
December 2017;234 120;0,73;
January 2018;226 665;0,75;
February 2018;237 741;0,73;
March 2018;206 038;0,73;
April 2018;232 577;0,80;
May 2018;180 945;0,67;
June 2018;160 005;0,59;
July 2018;159 473;0,61;
August 2018;216 939;0,72;
September 2018;265 231;0,77;
October 2018;226 869;0,71;
November 2018;255 976;0,77;
December 2018;248 938;0,74;
January 2019;245 570;0,75;
February 2019;249 922;0,74;
March 2019;239 834;0,74;
April 2019;248 722;0,81;
May 2019;188 759;0,68;
June 2019;163 026;0,60;
July 2019;161 321;0,60;
August 2019;220 485;0,72;
September 2019;268 194;0,78;
October 2019;252 426;0,73;
November 2019;306 343;0,82;
December 2019;280 991;0,74;
January 2020;290 815;0,77;
February 2020;280 180;0,72;
March 2020;377 253;0,73;
April 2020;381 823;0,80;
May 2020;281 001;0,76;
June 2020;213 803;0,64;
July 2020;201 359;0,61;
August 2020;270 522;0,70;
September 2020;324 808;0,74;
October 2020;324 249;0,71;
November 2020;376 229;0,85;
December 2020;332 564;0,79;
January 2021;340 304;0,83;
February 2021;351 450;0,80;
March 2021;352 409;0,80;
April 2021;365 494;0,83;
May 2021;302 015;0,71;
June 2021;223 716;0,59;
July 2021;220 368;0,57;
August 2021;317 178;0,72;
September 2021;377 691;0,78;
October 2021;366 768;0,75;
November 2021;408 641;0,79;
December 2021;376 952;0,73;
January 2022;397 169;0,78;
February 2022;401 240;0,75;
March 2022;392 991;0,77;
April 2022;414 096;0,80;
May 2022;301 950;0,66;
June 2022;243 816;0,55;
July 2022;248 395;0,56;
August 2022;329 679;0,65;
September 2022;380 831;0,70;
October 2022;372 002;0,67;
November 2022;396 393;0,67;
December 2022;355 539;0,64;
January 2023;324 391;0,63;
February 2023;360 517;0,66;
March 2023;330 666;0,63;
April 2023;383 540;0,73;
May 2023;250 643;0,55;
June 2023;212 938;0,48;
July 2023;220 090;0,50;
August 2023;306 169;0,63;
September 2023;376 112;0,71;
October 2023;352 550;0,66;
November 2023;394 550;0,73;
December 2023;331 342;0,62;
January 2024;333 715;0,66;
February 2024;321 323;0,63;
March 2024;313 033;0,66;
April 2024;330 872;0,71;
May 2024;221 045;0,55;
June 2024;197 564;0,50;
July 2024;187 449;0,47;
August 2024;266 926;0,62;
September 2024;323 303;0,67;
October 2024;329 199;0,66;
November 2024;380 607;0,73;
