Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Oryol Oblast, all devices
December 2017;294 294;0,89;
January 2018;283 101;0,86;
February 2018;294 915;0,83;
March 2018;287 908;0,89;
April 2018;301 836;0,95;
May 2018;213 987;0,71;
June 2018;198 735;0,65;
July 2018;194 843;0,66;
August 2018;281 577;0,83;
September 2018;352 399;0,89;
October 2018;308 412;0,85;
November 2018;301 430;0,83;
December 2018;324 746;0,87;
January 2019;318 234;0,89;
February 2019;325 536;0,85;
March 2019;314 187;0,91;
April 2019;319 899;0,95;
May 2019;225 683;0,74;
June 2019;210 289;0,68;
July 2019;209 619;0,69;
August 2019;290 744;0,90;
September 2019;338 990;0,92;
October 2019;325 292;0,87;
November 2019;347 462;0,88;
December 2019;364 860;0,91;
January 2020;339 129;0,88;
February 2020;354 548;0,85;
March 2020;433 730;0,82;
April 2020;356 339;0,75;
May 2020;314 440;0,80;
June 2020;263 767;0,73;
July 2020;239 281;0,66;
August 2020;327 317;0,83;
September 2020;385 529;0,84;
October 2020;397 513;0,82;
November 2020;417 572;0,88;
December 2020;413 610;0,90;
January 2021;422 760;0,95;
February 2021;458 772;0,93;
March 2021;496 758;0,99;
April 2021;452 547;0,92;
May 2021;349 440;0,75;
June 2021;293 869;0,68;
July 2021;303 408;0,69;
August 2021;409 318;0,84;
September 2021;463 558;0,87;
October 2021;459 988;0,83;
November 2021;500 215;0,89;
December 2021;485 391;0,85;
January 2022;477 708;0,84;
February 2022;510 333;0,84;
March 2022;519 772;0,89;
April 2022;482 326;0,87;
May 2022;337 352;0,68;
June 2022;301 089;0,62;
July 2022;298 266;0,61;
August 2022;382 198;0,70;
September 2022;439 215;0,75;
October 2022;439 508;0,74;
November 2022;434 037;0,73;
December 2022;432 920;0,74;
January 2023;395 111;0,73;
February 2023;441 558;0,74;
March 2023;399 598;0,74;
April 2023;433 113;0,81;
May 2023;292 123;0,59;
June 2023;260 268;0,54;
July 2023;266 653;0,57;
August 2023;352 289;0,72;
September 2023;432 045;0,77;
October 2023;407 649;0,73;
November 2023;416 378;0,75;
December 2023;409 547;0,72;
January 2024;387 105;0,73;
February 2024;374 725;0,70;
March 2024;381 727;0,76;
April 2024;385 221;0,78;
May 2024;264 963;0,61;
June 2024;248 577;0,58;
July 2024;232 378;0,54;
August 2024;337 508;0,74;
September 2024;399 241;0,77;
October 2024;405 837;0,75;
November 2024;431 611;0,78;
