Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Vologda Oblast, all devices
December 2017;403 024;0,74;
January 2018;385 519;0,73;
February 2018;420 901;0,74;
March 2018;402 039;0,77;
April 2018;384 890;0,79;
May 2018;283 023;0,63;
June 2018;264 060;0,59;
July 2018;279 460;0,61;
August 2018;374 653;0,70;
September 2018;469 059;0,77;
October 2018;408 153;0,74;
November 2018;412 150;0,75;
December 2018;432 343;0,76;
January 2019;405 665;0,75;
February 2019;428 505;0,74;
March 2019;424 546;0,78;
April 2019;398 642;0,80;
May 2019;300 228;0,67;
June 2019;279 278;0,61;
July 2019;282 298;0,61;
August 2019;354 921;0,71;
September 2019;442 932;0,77;
October 2019;429 429;0,75;
November 2019;464 690;0,79;
December 2019;477 981;0,79;
January 2020;454 348;0,78;
February 2020;481 870;0,75;
March 2020;626 568;0,74;
April 2020;560 927;0,76;
May 2020;419 041;0,73;
June 2020;344 794;0,64;
July 2020;335 513;0,63;
August 2020;444 373;0,74;
September 2020;506 869;0,76;
October 2020;532 694;0,74;
November 2020;537 048;0,79;
December 2020;520 296;0,79;
January 2021;527 110;0,83;
February 2021;571 411;0,83;
March 2021;632 947;0,86;
April 2021;624 788;0,85;
May 2021;491 639;0,74;
June 2021;372 539;0,64;
July 2021;385 505;0,63;
August 2021;550 268;0,74;
September 2021;650 266;0,80;
October 2021;653 552;0,79;
November 2021;698 133;0,82;
December 2021;684 210;0,80;
January 2022;650 554;0,78;
February 2022;721 346;0,79;
March 2022;702 975;0,81;
April 2022;681 474;0,80;
May 2022;502 249;0,68;
June 2022;440 499;0,61;
July 2022;450 483;0,62;
August 2022;551 379;0,67;
September 2022;638 475;0,72;
October 2022;641 855;0,72;
November 2022;643 088;0,72;
December 2022;608 216;0,68;
January 2023;563 333;0,68;
February 2023;641 506;0,71;
March 2023;604 014;0,72;
April 2023;611 034;0,75;
May 2023;455 950;0,62;
June 2023;405 550;0,55;
July 2023;411 763;0,58;
August 2023;522 544;0,67;
September 2023;648 296;0,74;
October 2023;604 069;0,71;
November 2023;618 021;0,72;
December 2023;596 603;0,68;
January 2024;583 902;0,71;
February 2024;692 738;0,82;
March 2024;597 593;0,74;
April 2024;583 225;0,76;
May 2024;423 982;0,63;
June 2024;387 513;0,59;
July 2024;376 011;0,57;
August 2024;487 351;0,68;
September 2024;601 155;0,74;
October 2024;606 873;0,73;
November 2024;660 047;0,77;
