Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Orenburg Oblast, all devices
December 2017;575 983;0,81;
January 2018;558 454;0,81;
February 2018;582 802;0,78;
March 2018;506 071;0,76;
April 2018;543 275;0,84;
May 2018;402 345;0,68;
June 2018;354 968;0,62;
July 2018;378 750;0,64;
August 2018;569 357;0,82;
September 2018;671 952;0,85;
October 2018;594 239;0,81;
November 2018;630 186;0,87;
December 2018;604 813;0,81;
January 2019;598 525;0,83;
February 2019;626 135;0,82;
March 2019;589 007;0,83;
April 2019;598 142;0,90;
May 2019;430 743;0,72;
June 2019;383 972;0,65;
July 2019;393 780;0,65;
August 2019;550 307;0,83;
September 2019;639 997;0,85;
October 2019;641 009;0,83;
November 2019;731 860;0,89;
December 2019;724 697;0,86;
January 2020;699 293;0,83;
February 2020;714 515;0,80;
March 2020;949 912;0,79;
April 2020;1 031 051;0,97;
May 2020;637 139;0,76;
June 2020;508 379;0,66;
July 2020;506 080;0,65;
August 2020;720 966;0,79;
September 2020;827 424;0,78;
October 2020;991 076;0,80;
November 2020;964 352;0,89;
December 2020;864 801;0,87;
January 2021;887 698;0,91;
February 2021;920 952;0,89;
March 2021;950 357;0,92;
April 2021;981 240;1,00;
May 2021;730 713;0,78;
June 2021;562 060;0,64;
July 2021;573 880;0,65;
August 2021;871 746;0,83;
September 2021;1 059 419;0,86;
October 2021;1 024 979;0,86;
November 2021;1 163 782;0,94;
December 2021;1 048 207;0,87;
January 2022;1 036 500;0,85;
February 2022;1 113 615;0,86;
March 2022;1 075 191;0,90;
April 2022;1 124 522;0,93;
May 2022;730 780;0,69;
June 2022;617 063;0,61;
July 2022;631 926;0,63;
August 2022;868 760;0,75;
September 2022;979 428;0,78;
October 2022;993 811;0,78;
November 2022;1 058 334;0,81;
December 2022;912 488;0,71;
January 2023;872 045;0,73;
February 2023;971 186;0,75;
March 2023;867 784;0,73;
April 2023;999 257;0,86;
May 2023;639 005;0,62;
June 2023;559 257;0,56;
July 2023;575 019;0,58;
August 2023;876 508;0,78;
September 2023;984 333;0,78;
October 2023;968 068;0,77;
November 2023;1 032 446;0,81;
December 2023;922 592;0,73;
January 2024;874 545;0,74;
February 2024;851 823;0,71;
March 2024;837 486;0,76;
April 2024;943 669;0,87;
May 2024;587 843;0,64;
June 2024;526 392;0,58;
July 2024;511 794;0,56;
August 2024;779 329;0,79;
September 2024;912 750;0,81;
October 2024;937 093;0,80;
November 2024;1 062 644;0,88;
