Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Sverdlovsk Oblast, all devices
December 2017;2 067 082;0,78;
January 2018;2 026 403;0,75;
February 2018;2 160 607;0,74;
March 2018;1 995 164;0,74;
April 2018;1 931 973;0,75;
May 2018;1 517 255;0,65;
June 2018;1 395 298;0,62;
July 2018;1 443 537;0,62;
August 2018;1 819 553;0,69;
September 2018;2 453 379;0,73;
October 2018;2 238 131;0,73;
November 2018;2 215 864;0,71;
December 2018;2 447 817;0,75;
January 2019;2 288 107;0,74;
February 2019;2 408 286;0,74;
March 2019;2 367 915;0,75;
April 2019;2 272 603;0,76;
May 2019;1 859 880;0,67;
June 2019;1 684 784;0,62;
July 2019;1 674 489;0,62;
August 2019;2 066 933;0,71;
September 2019;2 403 021;0,75;
October 2019;2 320 581;0,72;
November 2019;2 427 860;0,74;
December 2019;2 569 125;0,78;
January 2020;2 424 422;0,75;
February 2020;2 509 923;0,72;
March 2020;3 159 879;0,74;
April 2020;2 667 816;0,74;
May 2020;2 140 055;0,70;
June 2020;1 773 713;0,62;
July 2020;1 783 818;0,60;
August 2020;2 405 979;0,66;
September 2020;2 787 525;0,69;
October 2020;2 973 484;0,67;
November 2020;3 025 330;0,71;
December 2020;2 820 915;0,74;
January 2021;2 742 633;0,78;
February 2021;2 837 724;0,77;
March 2021;2 792 756;0,79;
April 2021;2 386 502;0,76;
May 2021;2 149 149;0,69;
June 2021;1 904 461;0,59;
July 2021;1 887 365;0,58;
August 2021;2 297 265;0,67;
September 2021;2 569 422;0,71;
October 2021;2 741 907;0,72;
November 2021;2 685 182;0,72;
December 2021;2 671 765;0,74;
January 2022;2 601 044;0,72;
February 2022;2 755 531;0,72;
March 2022;2 634 691;0,72;
April 2022;2 576 190;0,70;
May 2022;2 101 071;0,63;
June 2022;1 758 046;0,56;
July 2022;1 824 029;0,55;
August 2022;2 161 216;0,60;
September 2022;2 421 772;0,62;
October 2022;2 470 223;0,62;
November 2022;2 422 359;0,60;
December 2022;2 279 684;0,59;
January 2023;2 100 474;0,60;
February 2023;2 342 430;0,61;
March 2023;2 182 491;0,60;
April 2023;2 220 080;0,64;
May 2023;1 756 615;0,55;
June 2023;1 507 942;0,49;
July 2023;1 553 593;0,49;
August 2023;1 915 218;0,57;
September 2023;2 322 123;0,61;
October 2023;2 236 614;0,60;
November 2023;2 265 061;0,59;
December 2023;2 185 992;0,59;
January 2024;2 090 165;0,59;
February 2024;2 101 015;0,57;
March 2024;2 098 726;0,60;
April 2024;2 101 437;0,61;
May 2024;1 620 312;0,54;
June 2024;1 479 150;0,51;
July 2024;1 415 712;0,48;
August 2024;1 848 505;0,58;
September 2024;2 302 513;0,62;
October 2024;2 307 740;0,62;
November 2024;2 457 866;0,64;
