Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Murmansk Oblast, all devices
December 2017;282 333;0,78;
January 2018;269 340;0,77;
February 2018;290 023;0,76;
March 2018;279 304;0,78;
April 2018;270 773;0,78;
May 2018;210 660;0,70;
June 2018;183 098;0,68;
July 2018;203 487;0,70;
August 2018;273 839;0,78;
September 2018;335 983;0,83;
October 2018;295 326;0,81;
November 2018;283 808;0,79;
December 2018;302 359;0,82;
January 2019;275 607;0,79;
February 2019;288 269;0,78;
March 2019;284 348;0,81;
April 2019;271 431;0,80;
May 2019;216 228;0,74;
June 2019;195 190;0,71;
July 2019;202 735;0,73;
August 2019;266 428;0,81;
September 2019;317 528;0,84;
October 2019;307 357;0,80;
November 2019;322 829;0,82;
December 2019;342 724;0,82;
January 2020;317 267;0,79;
February 2020;329 826;0,74;
March 2020;457 869;0,78;
April 2020;403 841;0,78;
May 2020;290 080;0,76;
June 2020;236 323;0,71;
July 2020;224 998;0,68;
August 2020;305 422;0,78;
September 2020;362 797;0,80;
October 2020;351 815;0,75;
November 2020;364 769;0,80;
December 2020;360 870;0,80;
January 2021;339 822;0,81;
February 2021;373 786;0,81;
March 2021;425 590;0,87;
April 2021;418 013;0,82;
May 2021;317 843;0,75;
June 2021;239 361;0,67;
July 2021;247 570;0,67;
August 2021;369 372;0,79;
September 2021;429 771;0,81;
October 2021;438 223;0,81;
November 2021;458 778;0,83;
December 2021;453 320;0,81;
January 2022;410 708;0,75;
February 2022;453 571;0,76;
March 2022;449 332;0,79;
April 2022;429 688;0,77;
May 2022;319 733;0,69;
June 2022;280 405;0,65;
July 2022;278 694;0,65;
August 2022;362 937;0,70;
September 2022;413 889;0,72;
October 2022;414 639;0,71;
November 2022;404 902;0,70;
December 2022;393 550;0,68;
January 2023;350 141;0,65;
February 2023;396 772;0,68;
March 2023;384 353;0,69;
April 2023;371 974;0,70;
May 2023;273 055;0,62;
June 2023;239 315;0,58;
July 2023;246 122;0,61;
August 2023;331 658;0,69;
September 2023;406 036;0,76;
October 2023;394 194;0,73;
November 2023;395 271;0,72;
December 2023;391 410;0,70;
January 2024;353 219;0,68;
February 2024;371 549;0,68;
March 2024;392 050;0,75;
April 2024;359 062;0,73;
May 2024;260 192;0,65;
June 2024;234 882;0,63;
July 2024;233 156;0,62;
August 2024;310 710;0,71;
September 2024;381 672;0,76;
October 2024;385 402;0,74;
November 2024;404 627;0,75;
