Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Khanty-Mansi Autonomous Okrug — Yugra, all devices
December 2017;549 380;0,75;
January 2018;554 786;0,76;
February 2018;582 412;0,75;
March 2018;534 417;0,75;
April 2018;578 846;0,80;
May 2018;388 967;0,66;
June 2018;345 291;0,63;
July 2018;362 499;0,64;
August 2018;531 351;0,76;
September 2018;684 212;0,84;
October 2018;598 188;0,78;
November 2018;586 385;0,77;
December 2018;584 714;0,75;
January 2019;618 467;0,78;
February 2019;613 627;0,78;
March 2019;607 818;0,80;
April 2019;598 599;0,83;
May 2019;407 709;0,69;
June 2019;351 804;0,66;
July 2019;359 725;0,66;
August 2019;521 289;0,78;
September 2019;658 994;0,84;
October 2019;634 202;0,79;
November 2019;676 163;0,81;
December 2019;694 181;0,80;
January 2020;685 950;0,80;
February 2020;698 608;0,75;
March 2020;916 997;0,76;
April 2020;863 853;0,82;
May 2020;610 380;0,72;
June 2020;469 973;0,66;
July 2020;462 543;0,66;
August 2020;671 789;0,78;
September 2020;829 046;0,78;
October 2020;893 663;0,76;
November 2020;904 843;0,83;
December 2020;811 958;0,79;
January 2021;822 976;0,85;
February 2021;852 391;0,87;
March 2021;891 806;0,89;
April 2021;843 063;0,86;
May 2021;657 159;0,75;
June 2021;506 158;0,65;
July 2021;500 600;0,64;
August 2021;750 588;0,79;
September 2021;906 567;0,83;
October 2021;957 761;0,85;
November 2021;1 016 394;0,85;
December 2021;929 021;0,80;
January 2022;953 369;0,81;
February 2022;976 186;0,80;
March 2022;942 999;0,81;
April 2022;903 986;0,81;
May 2022;643 989;0,66;
June 2022;523 283;0,60;
July 2022;543 304;0,59;
August 2022;739 317;0,68;
September 2022;873 467;0,74;
October 2022;877 385;0,71;
November 2022;893 777;0,69;
December 2022;799 748;0,64;
January 2023;781 983;0,68;
February 2023;862 485;0,70;
March 2023;842 096;0,70;
April 2023;837 514;0,76;
May 2023;566 912;0,60;
June 2023;460 898;0,54;
July 2023;477 069;0,55;
August 2023;696 343;0,69;
September 2023;865 462;0,75;
October 2023;826 316;0,72;
November 2023;885 049;0,71;
December 2023;793 062;0,67;
January 2024;804 201;0,71;
February 2024;792 708;0,68;
March 2024;851 154;0,75;
April 2024;815 912;0,76;
May 2024;516 299;0,62;
June 2024;449 672;0,58;
July 2024;430 704;0,55;
August 2024;658 172;0,71;
September 2024;847 033;0,77;
October 2024;865 350;0,75;
November 2024;933 111;0,78;
