Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Ulyanovsk Oblast, all devices
December 2017;365 143;0,76;
January 2018;338 214;0,72;
February 2018;353 977;0,70;
March 2018;328 416;0,71;
April 2018;334 804;0,77;
May 2018;249 961;0,62;
June 2018;233 735;0,58;
July 2018;241 322;0,59;
August 2018;329 430;0,70;
September 2018;405 513;0,76;
October 2018;357 380;0,73;
November 2018;354 364;0,71;
December 2018;376 372;0,74;
January 2019;341 106;0,71;
February 2019;384 554;0,74;
March 2019;358 493;0,76;
April 2019;349 405;0,79;
May 2019;261 657;0,65;
June 2019;241 075;0,60;
July 2019;239 972;0,59;
August 2019;320 412;0,73;
September 2019;399 124;0,77;
October 2019;388 568;0,74;
November 2019;421 821;0,76;
December 2019;456 580;0,79;
January 2020;426 339;0,75;
February 2020;452 599;0,74;
March 2020;617 138;0,82;
April 2020;442 493;0,73;
May 2020;398 685;0,71;
June 2020;309 569;0,63;
July 2020;305 528;0,60;
August 2020;423 946;0,71;
September 2020;467 535;0,69;
October 2020;522 060;0,72;
November 2020;543 795;0,76;
December 2020;538 387;0,80;
January 2021;518 289;0,81;
February 2021;561 284;0,81;
March 2021;536 684;0,80;
April 2021;530 343;0,82;
May 2021;419 854;0,69;
June 2021;332 269;0,59;
July 2021;343 121;0,58;
August 2021;481 213;0,71;
September 2021;535 956;0,73;
October 2021;586 491;0,77;
November 2021;603 872;0,77;
December 2021;599 130;0,78;
January 2022;581 928;0,72;
February 2022;639 556;0,76;
March 2022;565 245;0,73;
April 2022;624 600;0,81;
May 2022;430 514;0,63;
June 2022;376 506;0,56;
July 2022;375 271;0,57;
August 2022;476 004;0,64;
September 2022;512 637;0,64;
October 2022;554 693;0,68;
November 2022;533 263;0,64;
December 2022;530 282;0,64;
January 2023;471 800;0,63;
February 2023;533 081;0,64;
March 2023;460 019;0,63;
April 2023;531 773;0,72;
May 2023;359 877;0,54;
June 2023;317 894;0,49;
July 2023;330 991;0,51;
August 2023;439 809;0,63;
September 2023;505 011;0,64;
October 2023;509 906;0,66;
November 2023;495 090;0,63;
December 2023;500 453;0,63;
January 2024;456 590;0,63;
February 2024;473 218;0,61;
March 2024;451 349;0,65;
April 2024;479 640;0,69;
May 2024;331 488;0,54;
June 2024;308 631;0,51;
July 2024;297 322;0,48;
August 2024;403 589;0,63;
September 2024;483 374;0,65;
October 2024;499 833;0,65;
November 2024;537 618;0,67;
