Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;27;0,00003700;
январь 2018;14;0,00001924;
февраль 2018;10;0,00001303;
март 2018;7;0,00000992;
апрель 2018;0;0;
май 2018;21;0,00003610;
июнь 2018;14;0,00002583;
июль 2018;30;0,00005361;
август 2018;7;0,00001013;
сентябрь 2018;4;0,00000494;
октябрь 2018;36;0,00004748;
ноябрь 2018;9;0,00001189;
декабрь 2018;2;0,00000257;
январь 2019;7;0,00000886;
февраль 2019;18;0,00002308;
март 2019;12;0,00001580;
апрель 2019;8;0,00001120;
май 2019;3;0,00000511;
июнь 2019;3;0,00000565;
июль 2019;0;0;
август 2019;8;0,00001209;
сентябрь 2019;16;0,00002058;
октябрь 2019;6;0,00000750;
ноябрь 2019;6;0,00000718;
декабрь 2019;5;0,00000580;
январь 2020;17;0,00002005;
февраль 2020;6;0,00000650;
март 2020;10;0,00000837;
апрель 2020;7;0,00000666;
май 2020;6;0,00000715;
июнь 2020;4;0,00000565;
июль 2020;6;0,00000867;
август 2020;7;0,00000818;
сентябрь 2020;14;0,00001334;
октябрь 2020;4;0,00000342;
ноябрь 2020;6;0,00000556;
декабрь 2020;2;0,00000195;
январь 2021;6;0,00000626;
февраль 2021;3;0,00000308;
март 2021;23;0,00002300;
апрель 2021;14;0,00001436;
май 2021;6;0,00000688;
июнь 2021;6;0,00000776;
июль 2021;1;0,00000129;
август 2021;10;0,00001059;
сентябрь 2021;12;0,00001110;
октябрь 2021;12;0,00001074;
ноябрь 2021;15;0,00001268;
декабрь 2021;18;0,00001556;
январь 2022;9;0,00000773;
февраль 2022;3;0,00000246;
март 2022;7;0,00000606;
апрель 2022;10;0,00000901;
май 2022;10;0,00001026;
июнь 2022;7;0,00000809;
июль 2022;5;0,00000546;
август 2022;3;0,00000278;
сентябрь 2022;0;0;
октябрь 2022;9;0,00000732;
ноябрь 2022;7;0,00000545;
декабрь 2022;6;0,00000487;
январь 2023;7;0,00000617;
февраль 2023;14;0,00001139;
март 2023;7;0,00000587;
апрель 2023;6;0,00000545;
май 2023;1;0,00000106;
июнь 2023;4;0,00000474;
июль 2023;3;0,00000351;
август 2023;4;0,00000397;
сентябрь 2023;6;0,00000521;
октябрь 2023;7;0,00000610;
ноябрь 2023;5;0,00000404;
декабрь 2023;7;0,00000597;
январь 2024;10;0,00000888;
февраль 2024;3;0,00000259;
март 2024;1;0,00000088;
апрель 2024;4;0,00000375;
май 2024;9;0,00001089;
июнь 2024;2;0,00000258;
июль 2024;6;0,00000774;
август 2024;5;0,00000545;
сентябрь 2024;6;0,00000548;
октябрь 2024;5;0,00000439;
ноябрь 2024;1;0,00000084;
декабрь 2024;5;0,00000439;
