Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Свердловская область, все устройства
декабрь 2017;214;0,0000814;
январь 2018;223;0,0000828;
февраль 2018;195;0,0000673;
март 2018;176;0,0000660;
апрель 2018;175;0,0000687;
май 2018;136;0,0000589;
июнь 2018;160;0,0000712;
июль 2018;194;0,0000841;
август 2018;184;0,0000700;
сентябрь 2018;345;0,0001039;
октябрь 2018;419;0,0001383;
ноябрь 2018;309;0,0000997;
декабрь 2018;280;0,0000864;
январь 2019;265;0,0000867;
февраль 2019;213;0,0000660;
март 2019;163;0,0000522;
апрель 2019;212;0,0000709;
май 2019;172;0,0000627;
июнь 2019;253;0,0000943;
июль 2019;114;0,0000423;
август 2019;187;0,0000644;
сентябрь 2019;107;0,0000336;
октябрь 2019;132;0,0000412;
ноябрь 2019;114;0,0000348;
декабрь 2019;124;0,0000376;
январь 2020;119;0,0000369;
февраль 2020;97;0,0000279;
март 2020;111;0,0000260;
апрель 2020;191;0,0000532;
май 2020;244;0,0000806;
июнь 2020;123;0,0000432;
июль 2020;45;0,0000151;
август 2020;66;0,0000183;
сентябрь 2020;143;0,0000356;
октябрь 2020;303;0,0000689;
ноябрь 2020;98;0,0000231;
декабрь 2020;59;0,0000156;
январь 2021;81;0,0000230;
февраль 2021;145;0,0000396;
март 2021;166;0,0000473;
апрель 2021;82;0,0000261;
май 2021;131;0,0000426;
июнь 2021;77;0,0000241;
июль 2021;68;0,0000211;
август 2021;51;0,0000150;
сентябрь 2021;98;0,0000271;
октябрь 2021;223;0,0000585;
ноябрь 2021;91;0,0000245;
декабрь 2021;46;0,0000128;
январь 2022;93;0,0000257;
февраль 2022;85;0,0000222;
март 2022;95;0,0000260;
апрель 2022;42;0,0000115;
май 2022;34;0,0000102;
июнь 2022;63;0,0000201;
июль 2022;65;0,0000199;
август 2022;60;0,0000167;
сентябрь 2022;26;0,0000067;
октябрь 2022;93;0,0000236;
ноябрь 2022;52;0,0000130;
декабрь 2022;30;0,0000078;
январь 2023;102;0,0000291;
февраль 2023;50;0,0000130;
март 2023;27;0,0000074;
апрель 2023;19;0,0000054;
май 2023;25;0,0000078;
июнь 2023;46;0,0000150;
июль 2023;67;0,0000215;
август 2023;63;0,0000188;
сентябрь 2023;45;0,0000119;
октябрь 2023;31;0,0000083;
ноябрь 2023;28;0,0000073;
декабрь 2023;31;0,0000083;
январь 2024;19;0,0000054;
февраль 2024;42;0,0000115;
март 2024;38;0,0000109;
апрель 2024;52;0,0000152;
май 2024;24;0,0000081;
июнь 2024;22;0,0000075;
июль 2024;48;0,0000165;
август 2024;23;0,0000073;
сентябрь 2024;93;0,0000253;
октябрь 2024;51;0,0000137;
ноябрь 2024;23;0,0000060;
декабрь 2024;50;0,0000134;
