Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;97;0,0000529;
январь 2018;83;0,0000456;
февраль 2018;79;0,0000389;
март 2018;152;0,0000833;
апрель 2018;120;0,0000644;
май 2018;98;0,0000616;
июнь 2018;55;0,0000342;
июль 2018;84;0,0000513;
август 2018;95;0,0000507;
сентябрь 2018;61;0,0000278;
октябрь 2018;139;0,0000706;
ноябрь 2018;201;0,0000941;
декабрь 2018;146;0,0000638;
январь 2019;128;0,0000610;
февраль 2019;90;0,0000418;
март 2019;258;0,0001246;
апрель 2019;232;0,0001145;
май 2019;224;0,0001221;
июнь 2019;212;0,0001194;
июль 2019;146;0,0000826;
август 2019;110;0,0000581;
сентябрь 2019;110;0,0000529;
октябрь 2019;74;0,0000358;
ноябрь 2019;174;0,0000784;
декабрь 2019;170;0,0000747;
январь 2020;110;0,0000504;
февраль 2020;101;0,0000430;
март 2020;92;0,0000333;
апрель 2020;67;0,0000263;
май 2020;64;0,0000315;
июнь 2020;94;0,0000477;
июль 2020;34;0,0000170;
август 2020;84;0,0000372;
сентябрь 2020;73;0,0000288;
октябрь 2020;113;0,0000423;
ноябрь 2020;115;0,0000429;
декабрь 2020;70;0,0000279;
январь 2021;52;0,0000219;
февраль 2021;82;0,0000318;
март 2021;25;0,0000100;
апрель 2021;78;0,0000343;
май 2021;59;0,0000267;
июнь 2021;104;0,0000467;
июль 2021;33;0,0000145;
август 2021;63;0,0000268;
сентябрь 2021;55;0,0000225;
октябрь 2021;54;0,0000223;
ноябрь 2021;81;0,0000325;
декабрь 2021;103;0,0000416;
январь 2022;112;0,0000445;
февраль 2022;74;0,0000278;
март 2022;49;0,0000193;
апрель 2022;52;0,0000209;
май 2022;30;0,0000128;
июнь 2022;49;0,0000219;
июль 2022;27;0,0000116;
август 2022;24;0,0000095;
сентябрь 2022;33;0,0000120;
октябрь 2022;44;0,0000155;
ноябрь 2022;52;0,0000184;
декабрь 2022;41;0,0000149;
январь 2023;22;0,0000085;
февраль 2023;32;0,0000114;
март 2023;18;0,0000069;
апрель 2023;20;0,0000081;
май 2023;16;0,0000073;
июнь 2023;19;0,0000087;
июль 2023;33;0,0000154;
август 2023;29;0,0000124;
сентябрь 2023;24;0,0000092;
октябрь 2023;34;0,0000133;
ноябрь 2023;20;0,0000076;
декабрь 2023;44;0,0000165;
январь 2024;8;0,0000031;
февраль 2024;7;0,0000028;
март 2024;9;0,0000038;
апрель 2024;18;0,0000078;
май 2024;14;0,0000069;
июнь 2024;26;0,0000129;
июль 2024;13;0,0000064;
август 2024;22;0,0000099;
сентябрь 2024;32;0,0000124;
октябрь 2024;60;0,0000234;
ноябрь 2024;74;0,0000281;
декабрь 2024;102;0,0000390;
