Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Тульская область, все устройства
декабрь 2017;24;0,0000360;
январь 2018;59;0,0000895;
февраль 2018;112;0,0001561;
март 2018;25;0,0000386;
апрель 2018;44;0,0000702;
май 2018;10;0,0000170;
июнь 2018;6;0,0000099;
июль 2018;6;0,0000103;
август 2018;5;0,0000072;
сентябрь 2018;19;0,0000237;
октябрь 2018;6;0,0000082;
ноябрь 2018;3;0,0000041;
декабрь 2018;6;0,0000079;
январь 2019;3;0,0000041;
февраль 2019;4;0,0000052;
март 2019;10;0,0000140;
апрель 2019;3;0,0000045;
май 2019;9;0,0000148;
июнь 2019;5;0,0000081;
июль 2019;4;0,0000065;
август 2019;4;0,0000061;
сентябрь 2019;3;0,0000039;
октябрь 2019;1;0,0000013;
ноябрь 2019;2;0,0000025;
декабрь 2019;13;0,0000165;
январь 2020;3;0,0000038;
февраль 2020;30;0,0000356;
март 2020;6;0,0000057;
апрель 2020;6;0,0000064;
май 2020;3;0,0000038;
июнь 2020;2;0,0000027;
июль 2020;1;0,0000014;
август 2020;11;0,0000139;
сентябрь 2020;15;0,0000166;
октябрь 2020;6;0,0000063;
ноябрь 2020;13;0,0000144;
декабрь 2020;26;0,0000292;
январь 2021;7;0,0000081;
февраль 2021;10;0,0000104;
март 2021;22;0,0000224;
апрель 2021;39;0,0000400;
май 2021;9;0,0000097;
июнь 2021;6;0,0000067;
июль 2021;13;0,0000141;
август 2021;46;0,0000471;
сентябрь 2021;15;0,0000144;
октябрь 2021;29;0,0000265;
ноябрь 2021;15;0,0000138;
декабрь 2021;18;0,0000163;
январь 2022;6;0,0000056;
февраль 2022;23;0,0000193;
март 2022;14;0,0000122;
апрель 2022;13;0,0000118;
май 2022;3;0,0000030;
июнь 2022;11;0,0000110;
июль 2022;19;0,0000188;
август 2022;6;0,0000054;
сентябрь 2022;3;0,0000025;
октябрь 2022;5;0,0000042;
ноябрь 2022;17;0,0000147;
декабрь 2022;17;0,0000147;
январь 2023;43;0,0000402;
февраль 2023;17;0,0000146;
март 2023;17;0,0000159;
апрель 2023;4;0,0000037;
май 2023;3;0,0000030;
июнь 2023;8;0,0000080;
июль 2023;3;0,0000030;
август 2023;4;0,0000039;
сентябрь 2023;0;0;
октябрь 2023;32;0,0000292;
ноябрь 2023;5;0,0000046;
декабрь 2023;9;0,0000080;
январь 2024;4;0,0000038;
февраль 2024;2;0,0000018;
март 2024;3;0,0000029;
апрель 2024;1;0,0000010;
май 2024;0;0;
июнь 2024;13;0,0000144;
июль 2024;6;0,0000066;
август 2024;0;0;
сентябрь 2024;3;0,0000028;
октябрь 2024;4;0,0000037;
ноябрь 2024;19;0,0000172;
декабрь 2024;6;0,0000054;
