Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;76;0,0000607;
январь 2018;25;0,0000207;
февраль 2018;52;0,0000407;
март 2018;27;0,0000228;
апрель 2018;20;0,0000161;
май 2018;7;0,0000069;
июнь 2018;4;0,0000038;
июль 2018;8;0,0000074;
август 2018;20;0,0000161;
сентябрь 2018;29;0,0000203;
октябрь 2018;43;0,0000325;
ноябрь 2018;19;0,0000142;
декабрь 2018;43;0,0000326;
январь 2019;79;0,0000602;
февраль 2019;24;0,0000181;
март 2019;21;0,0000160;
апрель 2019;32;0,0000260;
май 2019;19;0,0000177;
июнь 2019;33;0,0000317;
июль 2019;71;0,0000658;
август 2019;32;0,0000267;
сентябрь 2019;42;0,0000302;
октябрь 2019;30;0,0000214;
ноябрь 2019;23;0,0000157;
декабрь 2019;15;0,0000100;
январь 2020;34;0,0000237;
февраль 2020;20;0,0000127;
март 2020;35;0,0000183;
апрель 2020;16;0,0000090;
май 2020;16;0,0000109;
июнь 2020;27;0,0000205;
июль 2020;9;0,0000068;
август 2020;10;0,0000065;
сентябрь 2020;9;0,0000048;
октябрь 2020;22;0,0000106;
ноябрь 2020;17;0,0000089;
декабрь 2020;38;0,0000222;
январь 2021;13;0,0000081;
февраль 2021;39;0,0000220;
март 2021;27;0,0000153;
апрель 2021;19;0,0000110;
май 2021;17;0,0000107;
июнь 2021;19;0,0000129;
июль 2021;12;0,0000079;
август 2021;47;0,0000279;
сентябрь 2021;15;0,0000079;
октябрь 2021;16;0,0000082;
ноябрь 2021;11;0,0000054;
декабрь 2021;17;0,0000085;
январь 2022;28;0,0000142;
февраль 2022;12;0,0000055;
март 2022;36;0,0000176;
апрель 2022;15;0,0000079;
май 2022;53;0,0000309;
июнь 2022;24;0,0000146;
июль 2022;12;0,0000067;
август 2022;48;0,0000257;
сентябрь 2022;21;0,0000102;
октябрь 2022;20;0,0000094;
ноябрь 2022;13;0,0000060;
декабрь 2022;11;0,0000052;
январь 2023;30;0,0000155;
февраль 2023;15;0,0000069;
март 2023;18;0,0000084;
апрель 2023;4;0,0000019;
май 2023;5;0,0000028;
июнь 2023;32;0,0000196;
июль 2023;135;0,0000794;
август 2023;13;0,0000069;
сентябрь 2023;7;0,0000033;
октябрь 2023;10;0,0000048;
ноябрь 2023;5;0,0000023;
декабрь 2023;20;0,0000097;
январь 2024;26;0,0000133;
февраль 2024;28;0,0000136;
март 2024;21;0,0000106;
апрель 2024;37;0,0000202;
май 2024;17;0,0000112;
июнь 2024;7;0,0000047;
июль 2024;16;0,0000108;
август 2024;6;0,0000036;
сентябрь 2024;6;0,0000031;
октябрь 2024;15;0,0000077;
ноябрь 2024;20;0,0000099;
декабрь 2024;18;0,0000092;
