Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Смоленская область, все устройства
декабрь 2017;5;0,0000132;
январь 2018;15;0,0000400;
февраль 2018;31;0,0000762;
март 2018;11;0,0000303;
апрель 2018;7;0,0000196;
май 2018;1;0,0000028;
июнь 2018;4;0,0000115;
июль 2018;6;0,0000175;
август 2018;12;0,0000311;
сентябрь 2018;5;0,0000113;
октябрь 2018;0;0;
ноябрь 2018;3;0,0000075;
декабрь 2018;4;0,0000095;
январь 2019;3;0,0000075;
февраль 2019;12;0,0000286;
март 2019;2;0,0000052;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;1;0,0000028;
июль 2019;3;0,0000087;
август 2019;1;0,0000027;
сентябрь 2019;2;0,0000048;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;2;0,0000043;
март 2020;5;0,0000081;
апрель 2020;11;0,0000201;
май 2020;3;0,0000069;
июнь 2020;5;0,0000120;
июль 2020;2;0,0000050;
август 2020;0;0;
сентябрь 2020;2;0,0000040;
октябрь 2020;0;0;
ноябрь 2020;1;0,0000020;
декабрь 2020;8;0,0000165;
январь 2021;12;0,0000256;
февраль 2021;5;0,0000094;
март 2021;3;0,0000055;
апрель 2021;1;0,0000017;
май 2021;7;0,0000134;
июнь 2021;1;0,0000021;
июль 2021;1;0,0000020;
август 2021;8;0,0000147;
сентябрь 2021;4;0,0000067;
октябрь 2021;0;0;
ноябрь 2021;13;0,0000204;
декабрь 2021;10;0,0000157;
январь 2022;2;0,0000032;
февраль 2022;3;0,0000044;
март 2022;1;0,0000015;
апрель 2022;0;0;
май 2022;5;0,0000087;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;2;0,0000030;
октябрь 2022;2;0,0000030;
ноябрь 2022;6;0,0000091;
декабрь 2022;3;0,0000045;
январь 2023;3;0,0000049;
февраль 2023;0;0;
март 2023;6;0,0000098;
апрель 2023;0;0;
май 2023;1;0,0000017;
июнь 2023;6;0,0000108;
июль 2023;2;0,0000036;
август 2023;1;0,0000017;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;5;0,0000081;
декабрь 2023;0;0;
январь 2024;2;0,0000033;
февраль 2024;0;0;
март 2024;1;0,0000017;
апрель 2024;2;0,0000036;
май 2024;2;0,0000040;
июнь 2024;11;0,0000223;
июль 2024;3;0,0000061;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;2;0,0000032;
