Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;10;0,00000996;
январь 2018;3;0,00000302;
февраль 2018;6;0,00000563;
март 2018;2;0,00000209;
апрель 2018;2;0,00000214;
май 2018;1;0,00000112;
июнь 2018;3;0,00000335;
июль 2018;5;0,00000563;
август 2018;4;0,00000385;
сентябрь 2018;10;0,00000849;
октябрь 2018;5;0,00000459;
ноябрь 2018;2;0,00000182;
декабрь 2018;11;0,00000974;
январь 2019;46;0,00004124;
февраль 2019;11;0,00000951;
март 2019;5;0,00000474;
апрель 2019;1;0,00000100;
май 2019;0;0;
июнь 2019;1;0,00000109;
июль 2019;8;0,00000868;
август 2019;40;0,00003907;
сентябрь 2019;6;0,00000512;
октябрь 2019;13;0,00001118;
ноябрь 2019;9;0,00000770;
декабрь 2019;10;0,00000832;
январь 2020;5;0,00000417;
февраль 2020;2;0,00000156;
март 2020;0;0;
апрель 2020;6;0,00000423;
май 2020;2;0,00000175;
июнь 2020;10;0,00000969;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;1;0,00000072;
октябрь 2020;3;0,00000193;
ноябрь 2020;0;0;
декабрь 2020;4;0,00000271;
январь 2021;9;0,00000628;
февраль 2021;18;0,00001146;
март 2021;2;0,00000134;
апрель 2021;5;0,00000363;
май 2021;4;0,00000292;
июнь 2021;2;0,00000153;
июль 2021;4;0,00000300;
август 2021;1;0,00000069;
сентябрь 2021;0;0;
октябрь 2021;2;0,00000124;
ноябрь 2021;13;0,00000806;
декабрь 2021;14;0,00000872;
январь 2022;4;0,00000255;
февраль 2022;1;0,00000057;
март 2022;0;0;
апрель 2022;1;0,00000063;
май 2022;6;0,00000429;
июнь 2022;2;0,00000144;
июль 2022;3;0,00000220;
август 2022;1;0,00000064;
сентябрь 2022;5;0,00000299;
октябрь 2022;5;0,00000296;
ноябрь 2022;0;0;
декабрь 2022;4;0,00000235;
январь 2023;1;0,00000064;
февраль 2023;7;0,00000419;
март 2023;2;0,00000130;
апрель 2023;9;0,00000586;
май 2023;0;0;
июнь 2023;2;0,00000146;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;3;0,00000184;
октябрь 2023;27;0,00001664;
ноябрь 2023;7;0,00000432;
декабрь 2023;11;0,00000674;
январь 2024;0;0;
февраль 2024;2;0,00000128;
март 2024;1;0,00000070;
апрель 2024;2;0,00000142;
май 2024;3;0,00000241;
июнь 2024;4;0,00000328;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;3;0,00000198;
октябрь 2024;0;0;
ноябрь 2024;6;0,00000372;
декабрь 2024;9;0,00000561;
