Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;8;0,00000730;
январь 2018;2;0,00000180;
февраль 2018;0;0;
март 2018;4;0,00000365;
апрель 2018;7;0,00000647;
май 2018;18;0,00001857;
июнь 2018;5;0,00000548;
июль 2018;12;0,00001259;
август 2018;7;0,00000641;
сентябрь 2018;11;0,00000845;
октябрь 2018;4;0,00000347;
ноябрь 2018;21;0,00001854;
декабрь 2018;15;0,00001303;
январь 2019;46;0,00003970;
февраль 2019;14;0,00001196;
март 2019;7;0,00000616;
апрель 2019;5;0,00000486;
май 2019;3;0,00000315;
июнь 2019;7;0,00000749;
июль 2019;29;0,00002984;
август 2019;10;0,00000978;
сентябрь 2019;4;0,00000337;
октябрь 2019;2;0,00000170;
ноябрь 2019;10;0,00000829;
декабрь 2019;17;0,00001399;
январь 2020;20;0,00001686;
февраль 2020;6;0,00000465;
март 2020;5;0,00000291;
апрель 2020;11;0,00000790;
май 2020;15;0,00001237;
июнь 2020;14;0,00001296;
июль 2020;4;0,00000366;
август 2020;8;0,00000656;
сентябрь 2020;2;0,00000142;
октябрь 2020;4;0,00000260;
ноябрь 2020;7;0,00000460;
декабрь 2020;4;0,00000294;
январь 2021;30;0,00002215;
февраль 2021;20;0,00001381;
март 2021;1;0,00000066;
апрель 2021;3;0,00000206;
май 2021;6;0,00000437;
июнь 2021;4;0,00000317;
июль 2021;4;0,00000322;
август 2021;2;0,00000133;
сентябрь 2021;3;0,00000183;
октябрь 2021;3;0,00000178;
ноябрь 2021;10;0,00000574;
декабрь 2021;5;0,00000293;
январь 2022;2;0,00000115;
февраль 2022;3;0,00000161;
март 2022;0;0;
апрель 2022;8;0,00000470;
май 2022;3;0,00000193;
июнь 2022;3;0,00000211;
июль 2022;5;0,00000346;
август 2022;1;0,00000060;
сентябрь 2022;2;0,00000111;
октябрь 2022;7;0,00000386;
ноябрь 2022;6;0,00000326;
декабрь 2022;6;0,00000334;
январь 2023;0;0;
февраль 2023;2;0,00000109;
март 2023;8;0,00000464;
апрель 2023;3;0,00000183;
май 2023;5;0,00000333;
июнь 2023;3;0,00000210;
июль 2023;9;0,00000633;
август 2023;3;0,00000193;
сентябрь 2023;5;0,00000287;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;3;0,00000181;
февраль 2024;0;0;
март 2024;1;0,00000061;
апрель 2024;6;0,00000380;
май 2024;1;0,00000075;
июнь 2024;0;0;
июль 2024;32;0,00002421;
август 2024;14;0,00000978;
сентябрь 2024;38;0,00002310;
октябрь 2024;0;0;
ноябрь 2024;3;0,00000171;
декабрь 2024;8;0,00000469;
