Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Рязанская область, все устройства
декабрь 2017;22;0,0000436;
январь 2018;9;0,0000180;
февраль 2018;36;0,0000661;
март 2018;2;0,0000041;
апрель 2018;2;0,0000042;
май 2018;9;0,0000204;
июнь 2018;7;0,0000157;
июль 2018;0;0;
август 2018;9;0,0000174;
сентябрь 2018;9;0,0000150;
октябрь 2018;8;0,0000146;
ноябрь 2018;8;0,0000148;
декабрь 2018;3;0,0000054;
январь 2019;3;0,0000056;
февраль 2019;12;0,0000210;
март 2019;9;0,0000171;
апрель 2019;6;0,0000122;
май 2019;12;0,0000264;
июнь 2019;8;0,0000172;
июль 2019;6;0,0000127;
август 2019;5;0,0000098;
сентябрь 2019;1;0,0000017;
октябрь 2019;2;0,0000034;
ноябрь 2019;7;0,0000115;
декабрь 2019;8;0,0000128;
январь 2020;5;0,0000082;
февраль 2020;9;0,0000134;
март 2020;16;0,0000181;
апрель 2020;0;0;
май 2020;8;0,0000128;
июнь 2020;20;0,0000347;
июль 2020;31;0,0000538;
август 2020;16;0,0000250;
сентябрь 2020;21;0,0000288;
октябрь 2020;5;0,0000064;
ноябрь 2020;4;0,0000053;
декабрь 2020;7;0,0000094;
январь 2021;2;0,0000027;
февраль 2021;7;0,0000086;
март 2021;8;0,0000095;
апрель 2021;13;0,0000157;
май 2021;2;0,0000026;
июнь 2021;11;0,0000159;
июль 2021;3;0,0000041;
август 2021;3;0,0000036;
сентябрь 2021;1;0,0000011;
октябрь 2021;20;0,0000229;
ноябрь 2021;15;0,0000172;
декабрь 2021;5;0,0000057;
январь 2022;2;0,0000022;
февраль 2022;4;0,0000042;
март 2022;4;0,0000044;
апрель 2022;8;0,0000091;
май 2022;9;0,0000115;
июнь 2022;2;0,0000026;
июль 2022;12;0,0000155;
август 2022;2;0,0000023;
сентябрь 2022;3;0,0000032;
октябрь 2022;3;0,0000032;
ноябрь 2022;10;0,0000109;
декабрь 2022;16;0,0000174;
январь 2023;11;0,0000131;
февраль 2023;3;0,0000032;
март 2023;4;0,0000047;
апрель 2023;1;0,0000011;
май 2023;14;0,0000173;
июнь 2023;9;0,0000112;
июль 2023;2;0,0000026;
август 2023;0;0;
сентябрь 2023;9;0,0000099;
октябрь 2023;6;0,0000067;
ноябрь 2023;3;0,0000032;
декабрь 2023;16;0,0000173;
январь 2024;13;0,0000148;
февраль 2024;13;0,0000144;
март 2024;14;0,0000171;
апрель 2024;7;0,0000087;
май 2024;8;0,0000112;
июнь 2024;22;0,0000298;
июль 2024;116;0,0001553;
август 2024;88;0,0001132;
сентябрь 2024;127;0,0001459;
октябрь 2024;154;0,0001688;
ноябрь 2024;164;0,0001755;
декабрь 2024;117;0,0001234;
