Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Ульяновская область, все устройства
декабрь 2017;3;0,0000062;
январь 2018;0;0;
февраль 2018;15;0,0000299;
март 2018;0;0;
апрель 2018;0;0;
май 2018;1;0,0000024;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;2;0,0000042;
сентябрь 2018;1;0,0000018;
октябрь 2018;2;0,0000041;
ноябрь 2018;4;0,0000081;
декабрь 2018;9;0,0000177;
январь 2019;3;0,0000062;
февраль 2019;1;0,0000019;
март 2019;8;0,0000169;
апрель 2019;1;0,0000022;
май 2019;0;0;
июнь 2019;4;0,0000100;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;1;0,0000019;
ноябрь 2019;0;0;
декабрь 2019;3;0,0000052;
январь 2020;11;0,0000193;
февраль 2020;2;0,0000033;
март 2020;4;0,0000053;
апрель 2020;0;0;
май 2020;6;0,0000107;
июнь 2020;5;0,0000102;
июль 2020;1;0,0000019;
август 2020;5;0,0000084;
сентябрь 2020;2;0,0000029;
октябрь 2020;12;0,0000167;
ноябрь 2020;0;0;
декабрь 2020;1;0,0000014;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;1;0,0000015;
апрель 2021;2;0,0000031;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;1;0,0000017;
август 2021;0;0;
сентябрь 2021;1;0,0000013;
октябрь 2021;6;0,0000079;
ноябрь 2021;1;0,0000012;
декабрь 2021;3;0,0000039;
январь 2022;0;0;
февраль 2022;1;0,0000011;
март 2022;20;0,0000261;
апрель 2022;5;0,0000064;
май 2022;2;0,0000029;
июнь 2022;2;0,0000030;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;2;0,0000025;
октябрь 2022;2;0,0000024;
ноябрь 2022;3;0,0000036;
декабрь 2022;15;0,0000182;
январь 2023;2;0,0000026;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;1;0,0000013;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;1;0,0000012;
октябрь 2023;0;0;
ноябрь 2023;3;0,0000038;
декабрь 2023;1;0,0000012;
январь 2024;6;0,0000083;
февраль 2024;2;0,0000026;
март 2024;1;0,0000014;
апрель 2024;2;0,0000028;
май 2024;1;0,0000016;
июнь 2024;1;0,0000016;
июль 2024;1;0,0000016;
август 2024;0;0;
сентябрь 2024;4;0,0000054;
октябрь 2024;0;0;
ноябрь 2024;1;0,0000012;
декабрь 2024;1;0,0000012;
