Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Калининградская область, все устройства
декабрь 2017;1;0,0000030;
январь 2018;6;0,0000185;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;46;0,0001459;
июль 2018;1;0,0000031;
август 2018;2;0,0000056;
сентябрь 2018;0;0;
октябрь 2018;2;0,0000056;
ноябрь 2018;0;0;
декабрь 2018;3;0,0000080;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;4;0,0000114;
май 2019;8;0,0000261;
июнь 2019;3;0,0000092;
июль 2019;2;0,0000062;
август 2019;2;0,0000059;
сентябрь 2019;2;0,0000052;
октябрь 2019;3;0,0000080;
ноябрь 2019;2;0,0000051;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;2;0,0000038;
апрель 2020;0;0;
май 2020;2;0,0000051;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;5;0,0000105;
октябрь 2020;0;0;
ноябрь 2020;1;0,0000021;
декабрь 2020;4;0,0000087;
январь 2021;2;0,0000046;
февраль 2021;3;0,0000063;
март 2021;0;0;
апрель 2021;1;0,0000019;
май 2021;1;0,0000020;
июнь 2021;0;0;
июль 2021;2;0,0000041;
август 2021;8;0,0000154;
сентябрь 2021;5;0,0000088;
октябрь 2021;8;0,0000134;
ноябрь 2021;7;0,0000119;
декабрь 2021;7;0,0000117;
январь 2022;38;0,0000661;
февраль 2022;13;0,0000214;
март 2022;0;0;
апрель 2022;4;0,0000066;
май 2022;0;0;
июнь 2022;2;0,0000035;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;1;0,0000015;
октябрь 2022;4;0,0000062;
ноябрь 2022;0;0;
декабрь 2022;1;0,0000015;
январь 2023;1;0,0000016;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;1;0,0000017;
июль 2023;4;0,0000070;
август 2023;1;0,0000017;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;4;0,0000063;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;1;0,0000017;
май 2024;0;0;
июнь 2024;3;0,0000055;
июль 2024;0;0;
август 2024;5;0,0000089;
сентябрь 2024;0;0;
октябрь 2024;2;0,0000032;
ноябрь 2024;6;0,0000094;
декабрь 2024;1;0,0000015;
