Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Тверская область, все устройства
декабрь 2017;14;0,0000267;
январь 2018;17;0,0000328;
февраль 2018;8;0,0000140;
март 2018;3;0,0000059;
апрель 2018;15;0,0000309;
май 2018;15;0,0000320;
июнь 2018;25;0,0000522;
июль 2018;16;0,0000332;
август 2018;9;0,0000167;
сентябрь 2018;15;0,0000243;
октябрь 2018;16;0,0000285;
ноябрь 2018;52;0,0000944;
декабрь 2018;34;0,0000588;
январь 2019;8;0,0000146;
февраль 2019;6;0,0000102;
март 2019;18;0,0000336;
апрель 2019;38;0,0000742;
май 2019;74;0,0001551;
июнь 2019;44;0,0000886;
июль 2019;18;0,0000370;
август 2019;12;0,0000237;
сентябрь 2019;13;0,0000225;
октябрь 2019;4;0,0000068;
ноябрь 2019;3;0,0000049;
декабрь 2019;3;0,0000047;
январь 2020;53;0,0000881;
февраль 2020;31;0,0000474;
март 2020;16;0,0000186;
апрель 2020;9;0,0000115;
май 2020;6;0,0000097;
июнь 2020;25;0,0000417;
июль 2020;9;0,0000154;
август 2020;3;0,0000048;
сентябрь 2020;34;0,0000484;
октябрь 2020;21;0,0000280;
ноябрь 2020;10;0,0000138;
декабрь 2020;4;0,0000056;
январь 2021;21;0,0000304;
февраль 2021;131;0,0001719;
март 2021;7;0,0000089;
апрель 2021;19;0,0000243;
май 2021;11;0,0000147;
июнь 2021;1;0,0000014;
июль 2021;5;0,0000067;
август 2021;17;0,0000215;
сентябрь 2021;7;0,0000082;
октябрь 2021;9;0,0000103;
ноябрь 2021;34;0,0000389;
декабрь 2021;36;0,0000400;
январь 2022;25;0,0000284;
февраль 2022;16;0,0000166;
март 2022;12;0,0000129;
апрель 2022;18;0,0000200;
май 2022;18;0,0000221;
июнь 2022;12;0,0000145;
июль 2022;3;0,0000036;
август 2022;2;0,0000022;
сентябрь 2022;9;0,0000094;
октябрь 2022;19;0,0000200;
ноябрь 2022;2;0,0000021;
декабрь 2022;10;0,0000104;
январь 2023;24;0,0000273;
февраль 2023;3;0,0000031;
март 2023;11;0,0000124;
апрель 2023;22;0,0000251;
май 2023;11;0,0000135;
июнь 2023;1;0,0000012;
июль 2023;9;0,0000109;
август 2023;9;0,0000108;
сентябрь 2023;7;0,0000076;
октябрь 2023;3;0,0000033;
ноябрь 2023;6;0,0000066;
декабрь 2023;23;0,0000247;
январь 2024;13;0,0000150;
февраль 2024;4;0,0000045;
март 2024;3;0,0000035;
апрель 2024;5;0,0000061;
май 2024;6;0,0000082;
июнь 2024;2;0,0000026;
июль 2024;2;0,0000026;
август 2024;0;0;
сентябрь 2024;7;0,0000081;
октябрь 2024;14;0,0000160;
ноябрь 2024;24;0,0000268;
декабрь 2024;1;0,0000010;
