Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;9;0,00000581;
январь 2018;9;0,00000539;
февраль 2018;32;0,00001591;
март 2018;6;0,00000319;
апрель 2018;5;0,00000278;
май 2018;30;0,00001784;
июнь 2018;32;0,00001820;
июль 2018;8;0,00000458;
август 2018;19;0,00000944;
сентябрь 2018;12;0,00000522;
октябрь 2018;14;0,00000655;
ноябрь 2018;30;0,00001393;
декабрь 2018;75;0,00003421;
январь 2019;120;0,00005604;
февраль 2019;58;0,00002610;
март 2019;16;0,00000762;
апрель 2019;61;0,00003026;
май 2019;20;0,00001096;
июнь 2019;23;0,00001247;
июль 2019;48;0,00002526;
август 2019;43;0,00002122;
сентябрь 2019;17;0,00000792;
октябрь 2019;29;0,00001378;
ноябрь 2019;20;0,00000948;
декабрь 2019;42;0,00001990;
январь 2020;47;0,00002293;
февраль 2020;20;0,00000876;
март 2020;5;0,00000173;
апрель 2020;13;0,00000529;
май 2020;10;0,00000537;
июнь 2020;26;0,00001626;
июль 2020;5;0,00000304;
август 2020;13;0,00000719;
сентябрь 2020;12;0,00000589;
октябрь 2020;34;0,00001528;
ноябрь 2020;47;0,00002096;
декабрь 2020;22;0,00001097;
январь 2021;8;0,00000421;
февраль 2021;30;0,00001406;
март 2021;6;0,00000287;
апрель 2021;5;0,00000254;
май 2021;3;0,00000152;
июнь 2021;0;0;
июль 2021;4;0,00000204;
август 2021;6;0,00000287;
сентябрь 2021;4;0,00000171;
октябрь 2021;13;0,00000548;
ноябрь 2021;77;0,00003283;
декабрь 2021;26;0,00001124;
январь 2022;4;0,00000172;
февраль 2022;13;0,00000508;
март 2022;6;0,00000256;
апрель 2022;4;0,00000171;
май 2022;12;0,00000578;
июнь 2022;11;0,00000545;
июль 2022;2;0,00000098;
август 2022;4;0,00000175;
сентябрь 2022;13;0,00000532;
октябрь 2022;9;0,00000361;
ноябрь 2022;10;0,00000397;
декабрь 2022;22;0,00000889;
январь 2023;13;0,00000573;
февраль 2023;15;0,00000610;
март 2023;7;0,00000306;
апрель 2023;3;0,00000133;
май 2023;5;0,00000243;
июнь 2023;1;0,00000049;
июль 2023;2;0,00000099;
август 2023;12;0,00000562;
сентябрь 2023;4;0,00000166;
октябрь 2023;7;0,00000297;
ноябрь 2023;11;0,00000461;
декабрь 2023;10;0,00000418;
январь 2024;9;0,00000400;
февраль 2024;7;0,00000302;
март 2024;10;0,00000467;
апрель 2024;11;0,00000521;
май 2024;4;0,00000217;
июнь 2024;16;0,00000875;
июль 2024;19;0,00001029;
август 2024;6;0,00000312;
сентябрь 2024;4;0,00000178;
октябрь 2024;10;0,00000427;
ноябрь 2024;1;0,00000041;
декабрь 2024;3;0,00000125;
