Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;32;0,00001326;
январь 2018;57;0,00002356;
февраль 2018;11;0,00000435;
март 2018;12;0,00000552;
апрель 2018;11;0,00000479;
май 2018;11;0,00000484;
июнь 2018;15;0,00000589;
июль 2018;3;0,00000118;
август 2018;10;0,00000390;
сентябрь 2018;69;0,00002446;
октябрь 2018;8;0,00000308;
ноябрь 2018;43;0,00001634;
декабрь 2018;15;0,00000554;
январь 2019;54;0,00002098;
февраль 2019;10;0,00000370;
март 2019;56;0,00002165;
апрель 2019;3;0,00000118;
май 2019;9;0,00000365;
июнь 2019;6;0,00000221;
июль 2019;13;0,00000473;
август 2019;42;0,00001542;
сентябрь 2019;47;0,00001657;
октябрь 2019;16;0,00000563;
ноябрь 2019;14;0,00000470;
декабрь 2019;29;0,00000930;
январь 2020;7;0,00000232;
февраль 2020;24;0,00000758;
март 2020;14;0,00000362;
апрель 2020;15;0,00000422;
май 2020;8;0,00000260;
июнь 2020;31;0,00000985;
июль 2020;6;0,00000184;
август 2020;12;0,00000357;
сентябрь 2020;21;0,00000580;
октябрь 2020;16;0,00000431;
ноябрь 2020;31;0,00000874;
декабрь 2020;45;0,00001270;
январь 2021;22;0,00000654;
февраль 2021;34;0,00000916;
март 2021;34;0,00000959;
апрель 2021;30;0,00000920;
май 2021;10;0,00000282;
июнь 2021;14;0,00000354;
июль 2021;14;0,00000339;
август 2021;16;0,00000444;
сентябрь 2021;15;0,00000423;
октябрь 2021;25;0,00000700;
ноябрь 2021;32;0,00000869;
декабрь 2021;34;0,00000903;
январь 2022;14;0,00000390;
февраль 2022;12;0,00000297;
март 2022;88;0,00002347;
апрель 2022;32;0,00000845;
май 2022;28;0,00000754;
июнь 2022;21;0,00000526;
июль 2022;16;0,00000390;
август 2022;16;0,00000395;
сентябрь 2022;6;0,00000145;
октябрь 2022;16;0,00000390;
ноябрь 2022;16;0,00000388;
декабрь 2022;14;0,00000340;
январь 2023;27;0,00000698;
февраль 2023;26;0,00000626;
март 2023;4;0,00000101;
апрель 2023;8;0,00000206;
май 2023;7;0,00000186;
июнь 2023;13;0,00000319;
июль 2023;21;0,00000509;
август 2023;16;0,00000408;
сентябрь 2023;6;0,00000149;
октябрь 2023;29;0,00000723;
ноябрь 2023;13;0,00000322;
декабрь 2023;13;0,00000316;
январь 2024;3;0,00000080;
февраль 2024;5;0,00000128;
март 2024;17;0,00000467;
апрель 2024;8;0,00000220;
май 2024;10;0,00000293;
июнь 2024;7;0,00000184;
июль 2024;16;0,00000413;
август 2024;16;0,00000427;
сентябрь 2024;23;0,00000587;
октябрь 2024;13;0,00000323;
ноябрь 2024;14;0,00000338;
декабрь 2024;12;0,00000288;
