Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;5;0,00000278;
январь 2018;55;0,00002932;
февраль 2018;9;0,00000446;
март 2018;4;0,00000237;
апрель 2018;1;0,00000057;
май 2018;17;0,00001042;
июнь 2018;4;0,00000234;
июль 2018;10;0,00000580;
август 2018;8;0,00000420;
сентябрь 2018;86;0,00003841;
октябрь 2018;13;0,00000652;
ноябрь 2018;27;0,00001268;
декабрь 2018;22;0,00000992;
январь 2019;51;0,00002438;
февраль 2019;61;0,00002790;
март 2019;37;0,00001813;
апрель 2019;30;0,00001495;
май 2019;14;0,00000753;
июнь 2019;20;0,00001048;
июль 2019;43;0,00002272;
август 2019;20;0,00001030;
сентябрь 2019;52;0,00002533;
октябрь 2019;22;0,00001058;
ноябрь 2019;29;0,00001334;
декабрь 2019;21;0,00000924;
январь 2020;21;0,00000961;
февраль 2020;9;0,00000399;
март 2020;20;0,00000706;
апрель 2020;10;0,00000362;
май 2020;8;0,00000370;
июнь 2020;36;0,00001777;
июль 2020;9;0,00000426;
август 2020;28;0,00001269;
сентябрь 2020;8;0,00000324;
октябрь 2020;16;0,00000623;
ноябрь 2020;11;0,00000429;
декабрь 2020;17;0,00000677;
январь 2021;42;0,00001776;
февраль 2021;52;0,00001997;
март 2021;70;0,00002738;
апрель 2021;89;0,00003549;
май 2021;43;0,00001713;
июнь 2021;20;0,00000825;
июль 2021;15;0,00000616;
август 2021;18;0,00000710;
сентябрь 2021;29;0,00001076;
октябрь 2021;24;0,00000875;
ноябрь 2021;31;0,00001092;
декабрь 2021;22;0,00000766;
январь 2022;8;0,00000288;
февраль 2022;38;0,00001225;
март 2022;19;0,00000667;
апрель 2022;18;0,00000627;
май 2022;11;0,00000418;
июнь 2022;5;0,00000189;
июль 2022;12;0,00000447;
август 2022;8;0,00000280;
сентябрь 2022;19;0,00000625;
октябрь 2022;18;0,00000580;
ноябрь 2022;10;0,00000319;
декабрь 2022;46;0,00001486;
январь 2023;43;0,00001494;
февраль 2023;3;0,00000096;
март 2023;6;0,00000199;
апрель 2023;3;0,00000101;
май 2023;1;0,00000037;
июнь 2023;7;0,00000263;
июль 2023;5;0,00000188;
август 2023;11;0,00000391;
сентябрь 2023;13;0,00000430;
октябрь 2023;25;0,00000824;
ноябрь 2023;3;0,00000097;
декабрь 2023;9;0,00000288;
январь 2024;3;0,00000103;
февраль 2024;8;0,00000270;
март 2024;5;0,00000182;
апрель 2024;2;0,00000072;
май 2024;7;0,00000280;
июнь 2024;3;0,00000121;
июль 2024;9;0,00000357;
август 2024;34;0,00001296;
сентябрь 2024;15;0,00000518;
октябрь 2024;89;0,00002937;
ноябрь 2024;6;0,00000192;
декабрь 2024;6;0,00000196;
