Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;1;0,0000045;
январь 2018;8;0,0000361;
февраль 2018;8;0,0000337;
март 2018;3;0,0000132;
апрель 2018;0;0;
май 2018;1;0,0000060;
июнь 2018;7;0,0000456;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;4;0,0000153;
октябрь 2018;1;0,0000040;
ноябрь 2018;0;0;
декабрь 2018;2;0,0000081;
январь 2019;10;0,0000396;
февраль 2019;24;0,0000934;
март 2019;0;0;
апрель 2019;2;0,0000085;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;2;0,0000091;
сентябрь 2019;7;0,0000261;
октябрь 2019;1;0,0000037;
ноябрь 2019;2;0,0000071;
декабрь 2019;6;0,0000212;
январь 2020;6;0,0000203;
февраль 2020;3;0,0000096;
март 2020;4;0,0000102;
апрель 2020;2;0,0000054;
май 2020;1;0,0000038;
июнь 2020;1;0,0000044;
июль 2020;0;0;
август 2020;3;0,0000109;
сентябрь 2020;7;0,0000207;
октябрь 2020;2;0,0000052;
ноябрь 2020;7;0,0000199;
декабрь 2020;0;0;
январь 2021;1;0,0000031;
февраль 2021;8;0,0000239;
март 2021;2;0,0000056;
апрель 2021;1;0,0000029;
май 2021;2;0,0000071;
июнь 2021;3;0,0000124;
июль 2021;12;0,0000493;
август 2021;4;0,0000122;
сентябрь 2021;4;0,0000107;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;11;0,0000274;
январь 2022;8;0,0000195;
февраль 2022;3;0,0000070;
март 2022;1;0,0000024;
апрель 2022;0;0;
май 2022;2;0,0000064;
июнь 2022;0;0;
июль 2022;5;0,0000175;
август 2022;13;0,0000354;
сентябрь 2022;0;0;
октябрь 2022;8;0,0000184;
ноябрь 2022;0;0;
декабрь 2022;3;0,0000069;
январь 2023;1;0,0000024;
февраль 2023;8;0,0000182;
март 2023;8;0,0000186;
апрель 2023;1;0,0000025;
май 2023;2;0,0000065;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;4;0,0000114;
сентябрь 2023;2;0,0000049;
октябрь 2023;2;0,0000049;
ноябрь 2023;3;0,0000072;
декабрь 2023;4;0,0000099;
январь 2024;7;0,0000176;
февраль 2024;4;0,0000099;
март 2024;7;0,0000176;
апрель 2024;0;0;
май 2024;1;0,0000036;
июнь 2024;6;0,0000241;
июль 2024;2;0,0000079;
август 2024;3;0,0000095;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;17;0,0000437;
