Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Республика Коми, все устройства
декабрь 2017;3;0,0000080;
январь 2018;3;0,0000080;
февраль 2018;0;0;
март 2018;2;0,0000052;
апрель 2018;4;0,0000106;
май 2018;3;0,0000092;
июнь 2018;4;0,0000133;
июль 2018;9;0,0000290;
август 2018;2;0,0000053;
сентябрь 2018;3;0,0000067;
октябрь 2018;23;0,0000576;
ноябрь 2018;14;0,0000354;
декабрь 2018;0;0;
январь 2019;4;0,0000101;
февраль 2019;7;0,0000171;
март 2019;6;0,0000150;
апрель 2019;2;0,0000053;
май 2019;0;0;
июнь 2019;2;0,0000065;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;1;0,0000025;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;3;0,0000074;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;1;0,0000025;
июнь 2020;1;0,0000029;
июль 2020;1;0,0000029;
август 2020;4;0,0000102;
сентябрь 2020;3;0,0000065;
октябрь 2020;1;0,0000020;
ноябрь 2020;2;0,0000042;
декабрь 2020;3;0,0000065;
январь 2021;2;0,0000044;
февраль 2021;5;0,0000108;
март 2021;3;0,0000061;
апрель 2021;2;0,0000040;
май 2021;1;0,0000022;
июнь 2021;2;0,0000053;
июль 2021;7;0,0000182;
август 2021;6;0,0000127;
сентябрь 2021;2;0,0000037;
октябрь 2021;4;0,0000073;
ноябрь 2021;1;0,0000018;
декабрь 2021;7;0,0000125;
январь 2022;3;0,0000055;
февраль 2022;7;0,0000119;
март 2022;2;0,0000035;
апрель 2022;5;0,0000091;
май 2022;1;0,0000021;
июнь 2022;4;0,0000093;
июль 2022;0;0;
август 2022;4;0,0000079;
сентябрь 2022;3;0,0000053;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;15;0,0000283;
февраль 2023;12;0,0000206;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;5;0,0000121;
август 2023;1;0,0000021;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;5;0,0000093;
декабрь 2023;1;0,0000018;
январь 2024;1;0,0000019;
февраль 2024;0;0;
март 2024;1;0,0000019;
апрель 2024;0;0;
май 2024;3;0,0000075;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;7;0,0000138;
ноябрь 2024;0;0;
декабрь 2024;0;0;
