Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Омская область, все устройства
декабрь 2017;1;0,00000129;
январь 2018;1;0,00000134;
февраль 2018;11;0,00001390;
март 2018;0;0;
апрель 2018;14;0,00001867;
май 2018;8;0,00001236;
июнь 2018;12;0,00001922;
июль 2018;8;0,00001184;
август 2018;8;0,00001068;
сентябрь 2018;4;0,00000457;
октябрь 2018;13;0,00001625;
ноябрь 2018;8;0,00000985;
декабрь 2018;3;0,00000369;
январь 2019;36;0,00004375;
февраль 2019;3;0,00000360;
март 2019;3;0,00000378;
апрель 2019;8;0,00001074;
май 2019;6;0,00000862;
июнь 2019;3;0,00000470;
июль 2019;45;0,00006641;
август 2019;9;0,00001181;
сентябрь 2019;45;0,00005112;
октябрь 2019;7;0,00000779;
ноябрь 2019;8;0,00000875;
декабрь 2019;8;0,00000868;
январь 2020;14;0,00001574;
февраль 2020;5;0,00000516;
март 2020;4;0,00000328;
апрель 2020;6;0,00000560;
май 2020;4;0,00000439;
июнь 2020;18;0,00002187;
июль 2020;4;0,00000493;
август 2020;16;0,00001720;
сентябрь 2020;7;0,00000647;
октябрь 2020;8;0,00000716;
ноябрь 2020;28;0,00002526;
декабрь 2020;5;0,00000480;
январь 2021;14;0,00001383;
февраль 2021;22;0,00002007;
март 2021;3;0,00000279;
апрель 2021;2;0,00000199;
май 2021;1;0,00000099;
июнь 2021;15;0,00001561;
июль 2021;2;0,00000211;
август 2021;1;0,00000094;
сентябрь 2021;0;0;
октябрь 2021;5;0,00000428;
ноябрь 2021;12;0,00000975;
декабрь 2021;4;0,00000332;
январь 2022;3;0,00000242;
февраль 2022;3;0,00000231;
март 2022;16;0,00001339;
апрель 2022;1;0,00000086;
май 2022;0;0;
июнь 2022;2;0,00000197;
июль 2022;1;0,00000099;
август 2022;1;0,00000088;
сентябрь 2022;9;0,00000727;
октябрь 2022;3;0,00000234;
ноябрь 2022;10;0,00000769;
декабрь 2022;6;0,00000476;
январь 2023;6;0,00000510;
февраль 2023;1;0,00000077;
март 2023;1;0,00000082;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;32;0,00003127;
август 2023;6;0,00000552;
сентябрь 2023;2;0,00000165;
октябрь 2023;0;0;
ноябрь 2023;8;0,00000644;
декабрь 2023;3;0,00000246;
январь 2024;8;0,00000693;
февраль 2024;1;0,00000082;
март 2024;0;0;
апрель 2024;0;0;
май 2024;1;0,00000108;
июнь 2024;0;0;
июль 2024;3;0,00000335;
август 2024;0;0;
сентябрь 2024;3;0,00000265;
октябрь 2024;5;0,00000433;
ноябрь 2024;2;0,00000165;
декабрь 2024;11;0,00000919;
